risk_id,initiative_id,title,description,category,probability,impact,score,exposure_usd,mitigation,owner,status,raised_date,target_resolution_date
RSK-0056,INIT-027,Key SME shared across three concurrent initiatives,"Capacity risk arising from contention for scarce specialist skills. Carried on Packaging & Consumables Standardisation (INIT-027, Supply Chain) and reported into the monthly PMO review.",Resource,1,1,1,22000,Formal allocation agreement; backfill the BAU role,Bjorn Adeyemi,Mitigating,2026-07-29,2026-10-27
RSK-0057,INIT-028,Frontline adoption below target after go-live,"People-side risk: the change may not stick without sustained reinforcement. Carried on Order-to-Cash Automation (INIT-028, Finance) and reported into the monthly PMO review.",Change/Adoption,3,1,3,28000,Super-user network; adoption dashboard tied to manager objectives,Marcus Bramley,Mitigating,2026-07-17,2026-08-16
RSK-0058,INIT-029,Change manager vacancy unfilled for two months,"Capacity risk arising from contention for scarce specialist skills. Carried on Month-End Close Acceleration (INIT-029, Finance) and reported into the monthly PMO review.",Resource,1,1,1,5000,Interim contractor while permanent recruitment completes,Rafael Doherty,Mitigating,2026-07-03,2026-08-02
RSK-0059,INIT-029,Data migration volumes exceed tested throughput,"Technical uncertainty that may require rework or additional discovery effort. Carried on Month-End Close Acceleration (INIT-029, Finance) and reported into the monthly PMO review.",Technical,3,2,6,35000,Run full-volume rehearsal in pre-prod; add cutover contingency day,Elise Buchanan,Open,2026-03-29,2026-05-28
RSK-0060,INIT-029,Data residency requirements not met in target region,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on Month-End Close Acceleration (INIT-029, Finance) and reported into the monthly PMO review.",Regulatory,3,4,12,66000,Regional data enclave; legal review before cutover,Struan Menzies,Mitigating,2025-12-15,2026-01-14
RSK-0061,INIT-030,Control evidence not retained to the required standard,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on Procurement Source-to-Pay Redesign (INIT-030, Finance) and reported into the monthly PMO review.",Regulatory,3,1,3,34000,Automate evidence capture; quarterly control self-assessment,Zoya Doherty,Mitigating,2026-03-23,2026-05-22
RSK-0062,INIT-030,Data migration volumes exceed tested throughput,"Technical uncertainty that may require rework or additional discovery effort. Carried on Procurement Source-to-Pay Redesign (INIT-030, Finance) and reported into the monthly PMO review.",Technical,2,3,6,49000,Run full-volume rehearsal in pre-prod; add cutover contingency day,Gregor Farouk,Closed,2026-03-23,2026-05-07
RSK-0063,INIT-030,Testing window overlaps with year-end freeze,"Schedule and execution risk that could push the critical path to the right. Carried on Procurement Source-to-Pay Redesign (INIT-030, Finance) and reported into the monthly PMO review.",Delivery,3,3,9,69000,Negotiate early freeze exemption; shift regression to November,Amara Ferreira,Closed,2026-03-27,2026-04-26
RSK-0064,INIT-031,Data engineering demand exceeds the available pool,"Capacity risk arising from contention for scarce specialist skills. Carried on Finance Shared Services Centre Stand-Up (INIT-031, Finance) and reported into the monthly PMO review.",Resource,3,4,12,48000,Prioritisation forum; contract two additional engineers,Gregor MacAulay,Open,2026-07-21,2026-11-18
RSK-0065,INIT-031,Key SME shared across three concurrent initiatives,"Capacity risk arising from contention for scarce specialist skills. Carried on Finance Shared Services Centre Stand-Up (INIT-031, Finance) and reported into the monthly PMO review.",Resource,4,3,12,27000,Formal allocation agreement; backfill the BAU role,Beatriz Farouk,Open,2026-07-18,2026-10-16
RSK-0066,INIT-032,Data residency requirements not met in target region,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on Working Capital - Payables Terms Harmonisation (INIT-032, Finance) and reported into the monthly PMO review.",Regulatory,2,2,4,12000,Regional data enclave; legal review before cutover,Bjorn Farouk,Open,2026-06-02,2026-07-17
RSK-0067,INIT-032,Key SME shared across three concurrent initiatives,"Capacity risk arising from contention for scarce specialist skills. Carried on Working Capital - Payables Terms Harmonisation (INIT-032, Finance) and reported into the monthly PMO review.",Resource,4,5,20,67000,Formal allocation agreement; backfill the BAU role,Kofi MacAulay,Mitigating,2026-07-13,2026-09-11
RSK-0068,INIT-033,Data migration volumes exceed tested throughput,"Technical uncertainty that may require rework or additional discovery effort. Carried on Group Planning & Forecasting Rebuild (FP&A) (INIT-033, Finance) and reported into the monthly PMO review.",Technical,2,1,2,31000,Run full-volume rehearsal in pre-prod; add cutover contingency day,Amara Adeyemi,Open,2026-10-24,2026-11-23
RSK-0069,INIT-033,Control evidence not retained to the required standard,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on Group Planning & Forecasting Rebuild (FP&A) (INIT-033, Finance) and reported into the monthly PMO review.",Regulatory,3,2,6,101000,Automate evidence capture; quarterly control self-assessment,Tomas Rahman,Mitigating,2026-10-24,2027-02-21
RSK-0070,INIT-034,Supply chain analyst capacity absorbed by peak trading,"Capacity risk arising from contention for scarce specialist skills. Carried on Insurance Programme Restructure (INIT-034, Finance) and reported into the monthly PMO review.",Resource,5,5,25,389000,Ring-fence project allocation; agree BAU cover with the site leads,Amara Arnesen,Mitigating,2026-03-01,2026-06-29
RSK-0071,INIT-034,Insufficient training capacity in peak season,"People-side risk: the change may not stick without sustained reinforcement. Carried on Insurance Programme Restructure (INIT-034, Finance) and reported into the monthly PMO review.",Change/Adoption,3,5,15,291000,Move to blended e-learning; train-the-trainer in each depot,Nuala Arnesen,Open,2026-05-28,2026-07-12
RSK-0072,INIT-034,Control evidence not retained to the required standard,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on Insurance Programme Restructure (INIT-034, Finance) and reported into the monthly PMO review.",Regulatory,3,4,12,260000,Automate evidence capture; quarterly control self-assessment,Lena MacAulay,Open,2026-02-03,2026-06-03
RSK-0073,INIT-034,Single-source dependency on niche implementation partner,"Third-party performance risk against the contracted scope and timeline. Carried on Insurance Programme Restructure (INIT-034, Finance) and reported into the monthly PMO review.",Vendor,3,3,9,110000,Knowledge transfer clauses; second supplier pre-qualified,Nuala Arnesen,Open,2026-06-17,2026-09-15
RSK-0074,INIT-035,Legacy interfaces poorly documented,"Technical uncertainty that may require rework or additional discovery effort. Carried on HRIS Consolidation to Workday (INIT-035, HR / People) and reported into the monthly PMO review.",Technical,5,3,15,21000,Fund a discovery spike; engage original vendor for schema walkthrough,Anika Rahman,Mitigating,2026-05-16,2026-06-15
RSK-0075,INIT-035,Control evidence not retained to the required standard,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on HRIS Consolidation to Workday (INIT-035, HR / People) and reported into the monthly PMO review.",Regulatory,3,5,15,80000,Automate evidence capture; quarterly control self-assessment,Erik Corrigan,Mitigating,2026-07-13,2026-09-11
RSK-0076,INIT-035,Supply chain analyst capacity absorbed by peak trading,"Capacity risk arising from contention for scarce specialist skills. Carried on HRIS Consolidation to Workday (INIT-035, HR / People) and reported into the monthly PMO review.",Resource,4,4,16,41000,Ring-fence project allocation; agree BAU cover with the site leads,Anika Rahman,Mitigating,2026-02-13,2026-03-30
RSK-0077,INIT-036,Savings double-counted with another initiative,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Frontline Hiring Funnel Redesign (INIT-036, HR / People) and reported into the monthly PMO review.",Financial,3,3,9,195000,Benefit ownership matrix agreed with Finance; single booking point,Hamish Reinholt,Closed,2026-01-15,2026-02-14
RSK-0078,INIT-036,Control evidence not retained to the required standard,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on Frontline Hiring Funnel Redesign (INIT-036, HR / People) and reported into the monthly PMO review.",Regulatory,2,3,6,146000,Automate evidence capture; quarterly control self-assessment,Hamish Reinholt,Mitigating,2026-07-09,2026-09-07
RSK-0079,INIT-036,Change manager vacancy unfilled for two months,"Capacity risk arising from contention for scarce specialist skills. Carried on Frontline Hiring Funnel Redesign (INIT-036, HR / People) and reported into the monthly PMO review.",Resource,1,1,1,26000,Interim contractor while permanent recruitment completes,Idris Vlach,Closed,2026-04-22,2026-06-06
RSK-0080,INIT-037,Savings double-counted with another initiative,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Manager Capability Programme (INIT-037, HR / People) and reported into the monthly PMO review.",Financial,1,2,2,2000,Benefit ownership matrix agreed with Finance; single booking point,Olu Kaur,Mitigating,2026-10-14,2026-11-28
RSK-0081,INIT-038,Data residency requirements not met in target region,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on Shared Services HR Operating Model (INIT-038, HR / People) and reported into the monthly PMO review.",Regulatory,4,2,8,73000,Regional data enclave; legal review before cutover,Freya Halvorsen,Mitigating,2026-07-12,2026-10-10
RSK-0082,INIT-038,Scope creep from business unit change requests,"Schedule and execution risk that could push the critical path to the right. Carried on Shared Services HR Operating Model (INIT-038, HR / People) and reported into the monthly PMO review.",Delivery,2,2,4,28000,Change control board; scope baselined and re-approved monthly,Elise Duval,Mitigating,2026-07-11,2026-11-08
RSK-0083,INIT-039,Change manager vacancy unfilled for two months,"Capacity risk arising from contention for scarce specialist skills. Carried on Organisational Delayering & Span of Control (INIT-039, HR / People) and reported into the monthly PMO review.",Resource,5,3,15,110000,Interim contractor while permanent recruitment completes,Yusuf Arnesen,Mitigating,2026-08-05,2026-12-03
RSK-0084,INIT-039,Capex approval deferred to the next budget cycle,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Organisational Delayering & Span of Control (INIT-039, HR / People) and reported into the monthly PMO review.",Financial,4,4,16,455000,Phase the spend; seek bridge funding from the contingency pot,Devon Kilbride,Open,2026-08-07,2026-09-21
RSK-0085,INIT-039,Environment availability constrains parallel testing,"Technical uncertainty that may require rework or additional discovery effort. Carried on Organisational Delayering & Span of Control (INIT-039, HR / People) and reported into the monthly PMO review.",Technical,3,3,9,133000,Build second test environment; stagger test cycles,Beatriz Kaur,Open,2026-08-07,2026-12-05
RSK-0086,INIT-040,Supply chain analyst capacity absorbed by peak trading,"Capacity risk arising from contention for scarce specialist skills. Carried on Overtime & Absence Management (INIT-040, HR / People) and reported into the monthly PMO review.",Resource,2,3,6,21000,Ring-fence project allocation; agree BAU cover with the site leads,Nadia Doherty,Closed,2026-06-10,2026-08-09
RSK-0087,INIT-040,FX movement erodes savings in non-GBP contracts,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Overtime & Absence Management (INIT-040, HR / People) and reported into the monthly PMO review.",Financial,4,3,12,72000,Hedge material contracts; report benefits at constant currency,Hamish Menzies,Closed,2026-06-18,2026-07-18
