initiative_id,month,planned_spend,actual_spend,cumulative_planned,cumulative_actual,forecast_spend,benefit_realized
INIT-005,2026-05,96433,81664,235957,209028,95311,0
INIT-005,2026-06,131468,109015,367425,318043,129939,0
INIT-005,2026-07,170209,169458,537634,487501,168229,0
INIT-005,2026-08,209273,,746907,,206839,
INIT-005,2026-09,244349,,991256,,241507,
INIT-005,2026-10,270941,,1262197,,267790,
INIT-005,2026-11,285304,,1547501,,281985,
INIT-005,2026-12,285304,,1832805,,281985,
INIT-005,2027-01,270941,,2103746,,267790,
INIT-005,2027-02,244349,,2348095,,241507,
INIT-005,2027-03,209273,,2557368,,206839,
INIT-005,2027-04,170209,,2727577,,168229,
INIT-005,2027-05,131468,,2859045,,129939,
INIT-005,2027-06,96433,,2955478,,95311,
INIT-005,2027-07,67173,,3022651,,66392,
INIT-005,2027-08,44436,,3067087,,43919,
INIT-005,2027-09,27915,,3095002,,27590,
INIT-005,2027-10,0,,3095002,,0,
INIT-005,2027-11,0,,3095002,,0,
INIT-005,2027-12,0,,3095002,,0,
INIT-006,2026-01,0,0,0,0,0,0
INIT-006,2026-02,23368,25081,23368,25081,25512,0
INIT-006,2026-03,43985,56878,67353,81959,48020,0
INIT-006,2026-04,74508,91938,141861,173897,81344,0
INIT-006,2026-05,113587,120243,255448,294140,124008,0
INIT-006,2026-06,155837,153456,411285,447596,170134,0
INIT-006,2026-07,192412,250293,603697,697889,210064,0
INIT-006,2026-08,213803,,817500,,233418,
INIT-006,2026-09,213803,,1031303,,233418,
INIT-006,2026-10,192412,,1223715,,210064,
INIT-006,2026-11,155837,,1379552,,170134,
INIT-006,2026-12,113587,,1493139,,124008,
INIT-006,2027-01,74508,,1567647,,81344,
INIT-006,2027-02,43985,,1611632,,48020,
INIT-006,2027-03,23368,,1635000,,25512,
INIT-006,2027-04,0,,1635000,,0,
INIT-006,2027-05,0,,1635000,,0,
INIT-006,2027-06,0,,1635000,,0,
INIT-006,2027-07,0,,1635000,,0,
INIT-006,2027-08,0,,1635000,,0,
INIT-006,2027-09,0,,1635000,,0,
INIT-006,2027-10,0,,1635000,,0,
INIT-006,2027-11,0,,1635000,,0,
INIT-006,2027-12,0,,1635000,,0,
INIT-007,2026-01,0,0,0,0,0,0
INIT-007,2026-02,0,0,0,0,0,0
INIT-007,2026-03,0,0,0,0,0,0
INIT-007,2026-04,0,0,0,0,0,0
INIT-007,2026-05,30612,27333,30612,27333,31547,0
INIT-007,2026-06,62727,63189,93339,90522,64643,0
INIT-007,2026-07,111354,97508,204693,188030,114756,0
INIT-007,2026-08,171255,,375948,,176486,
INIT-007,2026-09,228175,,604123,,235145,
INIT-007,2026-10,263378,,867501,,271424,
INIT-007,2026-11,263378,,1130879,,271424,
INIT-007,2026-12,228175,,1359054,,235145,
INIT-007,2027-01,171255,,1530309,,176486,
INIT-007,2027-02,111354,,1641663,,114756,
INIT-007,2027-03,62727,,1704390,,64643,
INIT-007,2027-04,30612,,1735002,,31547,
INIT-007,2027-05,0,,1735002,,0,
INIT-007,2027-06,0,,1735002,,0,
INIT-007,2027-07,0,,1735002,,0,
INIT-007,2027-08,0,,1735002,,0,
INIT-007,2027-09,0,,1735002,,0,
INIT-007,2027-10,0,,1735002,,0,
INIT-007,2027-11,0,,1735002,,0,
INIT-007,2027-12,0,,1735002,,0,
INIT-008,2026-01,0,0,0,0,0,0
INIT-008,2026-02,0,0,0,0,0,0
INIT-008,2026-03,0,0,0,0,0,0
INIT-008,2026-04,31406,36432,31406,36432,35023,0
INIT-008,2026-05,64354,65641,95760,102073,71766,0
INIT-008,2026-06,114242,125630,210002,227703,127399,0
INIT-008,2026-07,175696,169539,385698,397242,195931,0
INIT-008,2026-08,234093,,619791,,261053,
INIT-008,2026-09,270210,,890001,,301330,
INIT-008,2026-10,270210,,1160211,,301330,
INIT-008,2026-11,234093,,1394304,,261053,
INIT-008,2026-12,175696,,1570000,,195931,
INIT-008,2027-01,114242,,1684242,,127399,
INIT-008,2027-02,64354,,1748596,,71766,
INIT-008,2027-03,31406,,1780002,,35023,
INIT-008,2027-04,0,,1780002,,0,
INIT-008,2027-05,0,,1780002,,0,
INIT-008,2027-06,0,,1780002,,0,
INIT-008,2027-07,0,,1780002,,0,
INIT-008,2027-08,0,,1780002,,0,
INIT-008,2027-09,0,,1780002,,0,
INIT-008,2027-10,0,,1780002,,0,
INIT-008,2027-11,0,,1780002,,0,
INIT-008,2027-12,0,,1780002,,0,
INIT-009,2026-01,0,0,0,0,0,0
INIT-009,2026-02,0,0,0,0,0,0
INIT-009,2026-03,0,0,0,0,0,0
INIT-009,2026-04,0,0,0,0,0,0
INIT-009,2026-05,0,0,0,0,0,0
INIT-009,2026-06,0,0,0,0,0,0
INIT-009,2026-07,0,0,0,0,0,0
INIT-009,2026-08,0,,0,,0,
INIT-009,2026-09,0,,0,,0,
INIT-009,2026-10,0,,0,,0,
INIT-009,2026-11,29551,,29551,,27726,
INIT-009,2026-12,84798,,114349,,79562,
INIT-009,2027-01,159613,,273962,,149758,
INIT-009,2027-02,197075,,471037,,184907,
INIT-009,2027-03,159613,,630650,,149758,
INIT-009,2027-04,84798,,715448,,79562,
INIT-009,2027-05,29551,,744999,,27726,
INIT-009,2027-06,0,,744999,,0,
INIT-009,2027-07,0,,744999,,0,
INIT-009,2027-08,0,,744999,,0,
INIT-009,2027-09,0,,744999,,0,
INIT-009,2027-10,0,,744999,,0,
INIT-009,2027-11,0,,744999,,0,
INIT-009,2027-12,0,,744999,,0,
INIT-010,2026-01,0,0,0,0,0,0
INIT-010,2026-02,0,0,0,0,0,0
INIT-010,2026-03,0,0,0,0,0,0
INIT-010,2026-04,0,0,0,0,0,0
INIT-010,2026-05,0,0,0,0,0,0
INIT-010,2026-06,0,0,0,0,0,0
INIT-010,2026-07,0,0,0,0,0,0
INIT-010,2026-08,0,,0,,0,
INIT-010,2026-09,31357,,31357,,30197,
INIT-010,2026-10,56959,,88316,,54851,
INIT-010,2026-11,94385,,182701,,90892,
INIT-010,2026-12,142680,,325381,,137400,
INIT-010,2027-01,196763,,522144,,189482,
INIT-010,2027-02,247539,,769683,,238379,
INIT-010,2027-03,284095,,1053778,,273582,
INIT-010,2027-04,297443,,1351221,,286436,
INIT-010,2027-05,284095,,1635316,,273582,
INIT-010,2027-06,247539,,1882855,,238379,
INIT-010,2027-07,196763,,2079618,,189482,
INIT-010,2027-08,142680,,2222298,,137400,
INIT-010,2027-09,94385,,2316683,,90892,
INIT-010,2027-10,56959,,2373642,,54851,
INIT-010,2027-11,31357,,2404999,,30197,
INIT-010,2027-12,0,,2404999,,0,
INIT-011,2026-01,0,0,0,0,0,0
INIT-011,2026-02,0,0,0,0,0,0
INIT-011,2026-03,0,0,0,0,0,0
INIT-011,2026-04,0,0,0,0,0,0
INIT-011,2026-05,0,0,0,0,0,0
INIT-011,2026-06,43484,44825,43484,44825,50945,0
INIT-011,2026-07,99369,98081,142853,142906,116419,0
INIT-011,2026-08,184689,,327542,,216378,
INIT-011,2026-09,279191,,606733,,327094,
INIT-011,2026-10,343267,,950000,,402164,
INIT-011,2026-11,343267,,1293267,,402164,
INIT-011,2026-12,279191,,1572458,,327094,
INIT-011,2027-01,184689,,1757147,,216378,
INIT-011,2027-02,99369,,1856516,,116419,
INIT-011,2027-03,43484,,1900000,,50945,
INIT-011,2027-04,0,,1900000,,0,
INIT-011,2027-05,0,,1900000,,0,
INIT-011,2027-06,0,,1900000,,0,
INIT-011,2027-07,0,,1900000,,0,
INIT-011,2027-08,0,,1900000,,0,
INIT-011,2027-09,0,,1900000,,0,
INIT-011,2027-10,0,,1900000,,0,
INIT-011,2027-11,0,,1900000,,0,
INIT-011,2027-12,0,,1900000,,0,
INIT-012,2026-01,0,0,0,0,0,0
INIT-012,2026-02,0,0,0,0,0,0
INIT-012,2026-03,0,0,0,0,0,0
INIT-012,2026-04,28022,25962,28022,25962,26446,0
INIT-012,2026-05,60424,60409,88446,86371,57026,0
INIT-012,2026-06,109840,112722,198286,199093,103664,0
INIT-012,2026-07,168326,141145,366612,340238,158861,0
INIT-012,2026-08,217464,,584076,,205236,
INIT-012,2026-09,236846,,820922,,223529,
INIT-012,2026-10,217464,,1038386,,205236,
INIT-012,2026-11,168326,,1206712,,158861,
INIT-012,2026-12,109840,,1316552,,103664,
INIT-012,2027-01,60424,,1376976,,57026,
INIT-012,2027-02,28022,,1404998,,26446,
INIT-012,2027-03,0,,1404998,,0,
INIT-012,2027-04,0,,1404998,,0,
INIT-012,2027-05,0,,1404998,,0,
INIT-012,2027-06,0,,1404998,,0,
INIT-012,2027-07,0,,1404998,,0,
INIT-012,2027-08,0,,1404998,,0,
INIT-012,2027-09,0,,1404998,,0,
INIT-012,2027-10,0,,1404998,,0,
INIT-012,2027-11,0,,1404998,,0,
INIT-012,2027-12,0,,1404998,,0,
INIT-013,2026-01,0,0,0,0,0,0
INIT-013,2026-02,0,0,0,0,0,0
INIT-013,2026-03,0,0,0,0,0,0
INIT-013,2026-04,0,0,0,0,0,0
INIT-013,2026-05,0,0,0,0,0,0
INIT-013,2026-06,0,0,0,0,0,0
INIT-013,2026-07,0,0,0,0,0,0
INIT-013,2026-08,0,,0,,0,
INIT-013,2026-09,0,,0,,0,
INIT-013,2026-10,0,,0,,0,
INIT-013,2026-11,0,,0,,0,
INIT-013,2026-12,0,,0,,0,
INIT-013,2027-01,0,,0,,0,
INIT-013,2027-02,18306,,18306,,18890,
INIT-013,2027-03,26773,,45079,,27627,
INIT-013,2027-04,37883,,82962,,39091,
INIT-013,2027-05,51860,,134822,,53514,
INIT-013,2027-06,68686,,203508,,70877,
INIT-013,2027-07,88012,,291520,,90819,
INIT-013,2027-08,109109,,400629,,112589,
INIT-013,2027-09,130865,,531494,,135039,
INIT-013,2027-10,151855,,683349,,156698,
INIT-013,2027-11,170482,,853831,,175920,
INIT-013,2027-12,185170,,1039001,,191076,
INIT-014,2026-01,0,0,0,0,0,0
INIT-014,2026-02,0,0,0,0,0,0
INIT-014,2026-03,0,0,0,0,0,0
INIT-014,2026-04,0,0,0,0,0,0
INIT-014,2026-05,0,0,0,0,0,0
INIT-014,2026-06,0,0,0,0,0,0
INIT-014,2026-07,0,0,0,0,0,0
INIT-014,2026-08,0,,0,,0,
INIT-014,2026-09,0,,0,,0,
INIT-014,2026-10,0,,0,,0,
INIT-014,2026-11,0,,0,,0,
INIT-014,2026-12,0,,0,,0,
INIT-014,2027-01,0,,0,,0,
INIT-014,2027-02,0,,0,,0,
INIT-014,2027-03,0,,0,,0,
INIT-014,2027-04,0,,0,,0,
INIT-014,2027-05,0,,0,,0,
INIT-014,2027-06,30790,,30790,,31090,
INIT-014,2027-07,54172,,84962,,54699,
INIT-014,2027-08,87918,,172880,,88773,
INIT-014,2027-09,131623,,304503,,132903,
INIT-014,2027-10,181775,,486278,,183543,
INIT-014,2027-11,231573,,717851,,233826,
INIT-014,2027-12,272138,,989989,,274785,
INIT-015,2026-01,22831,24796,22831,24796,25280,0
INIT-015,2026-02,44724,51137,67555,75933,49521,0
INIT-015,2026-03,77530,100754,145085,176687,85846,0
INIT-015,2026-04,118933,127751,264018,304438,131691,0
INIT-015,2026-05,161450,174517,425468,478955,178768,0
INIT-015,2026-06,193946,243944,619414,722899,214750,0
INIT-015,2026-07,206171,203965,825585,926864,228286,0
INIT-015,2026-08,193946,,1019531,,214750,
INIT-015,2026-09,161450,,1180981,,178768,
INIT-015,2026-10,118933,,1299914,,131691,
INIT-015,2026-11,77530,,1377444,,85846,
INIT-015,2026-12,44724,,1422168,,49521,
INIT-015,2027-01,22831,,1444999,,25280,
INIT-015,2027-02,0,,1444999,,0,
INIT-015,2027-03,0,,1444999,,0,
INIT-015,2027-04,0,,1444999,,0,
INIT-015,2027-05,0,,1444999,,0,
INIT-015,2027-06,0,,1444999,,0,
INIT-015,2027-07,0,,1444999,,0,
INIT-015,2027-08,0,,1444999,,0,
INIT-015,2027-09,0,,1444999,,0,
INIT-015,2027-10,0,,1444999,,0,
INIT-015,2027-11,0,,1444999,,0,
INIT-015,2027-12,0,,1444999,,0,
INIT-016,2026-01,0,0,0,0,0,0
INIT-016,2026-02,21614,29026,21614,29026,24243,0
INIT-016,2026-03,44288,51217,65902,80243,49675,0
INIT-016,2026-04,78621,105909,144523,186152,88184,0
INIT-016,2026-05,120915,124793,265438,310945,135622,0
INIT-016,2026-06,161103,155403,426541,466348,180698,0
INIT-016,2026-07,185959,205491,612500,671839,208578,0
INIT-016,2026-08,185959,,798459,,208578,
INIT-016,2026-09,161103,,959562,,180698,
INIT-016,2026-10,120915,,1080477,,135622,
INIT-016,2026-11,78621,,1159098,,88184,
INIT-016,2026-12,44288,,1203386,,49675,
INIT-016,2027-01,21614,,1225000,,24243,
INIT-016,2027-02,0,,1225000,,0,
INIT-016,2027-03,0,,1225000,,0,
INIT-016,2027-04,0,,1225000,,0,
INIT-016,2027-05,0,,1225000,,0,
INIT-016,2027-06,0,,1225000,,0,
INIT-016,2027-07,0,,1225000,,0,
INIT-016,2027-08,0,,1225000,,0,
INIT-016,2027-09,0,,1225000,,0,
INIT-016,2027-10,0,,1225000,,0,
INIT-016,2027-11,0,,1225000,,0,
INIT-016,2027-12,0,,1225000,,0,
INIT-017,2026-01,0,0,0,0,0,0
INIT-017,2026-02,0,0,0,0,0,0
INIT-017,2026-03,0,0,0,0,0,0
INIT-017,2026-04,0,0,0,0,0,0
INIT-017,2026-05,0,0,0,0,0,0
INIT-017,2026-06,0,0,0,0,0,0
INIT-017,2026-07,22035,28556,22035,28556,26246,0
INIT-017,2026-08,40025,,62060,,47675,
INIT-017,2026-09,66325,,128385,,79001,
INIT-017,2026-10,100262,,228647,,119425,
INIT-017,2026-11,138266,,366913,,164692,
INIT-017,2026-12,173946,,540859,,207191,
INIT-017,2027-01,199634,,740493,,237789,
INIT-017,2027-02,209014,,949507,,248962,
INIT-017,2027-03,199634,,1149141,,237789,
INIT-017,2027-04,173946,,1323087,,207191,
INIT-017,2027-05,138266,,1461353,,164692,
INIT-017,2027-06,100262,,1561615,,119425,
INIT-017,2027-07,66325,,1627940,,79001,
INIT-017,2027-08,40025,,1667965,,47675,
INIT-017,2027-09,22035,,1690000,,26246,
INIT-017,2027-10,0,,1690000,,0,
INIT-017,2027-11,0,,1690000,,0,
INIT-017,2027-12,0,,1690000,,0,
INIT-018,2026-01,0,0,0,0,0,0
INIT-018,2026-02,0,0,0,0,0,0
INIT-018,2026-03,0,0,0,0,0,0
INIT-018,2026-04,0,0,0,0,0,0
INIT-018,2026-05,0,0,0,0,0,0
INIT-018,2026-06,0,0,0,0,0,0
INIT-018,2026-07,0,0,0,0,0,0
INIT-018,2026-08,30943,,30943,,29185,
INIT-018,2026-09,58243,,89186,,54934,
INIT-018,2026-10,98661,,187847,,93056,
INIT-018,2026-11,150407,,338254,,141862,
INIT-018,2026-12,206353,,544607,,194629,
INIT-018,2027-01,254784,,799391,,240309,
INIT-018,2027-02,283109,,1082500,,267025,
INIT-018,2027-03,283109,,1365609,,267025,
INIT-018,2027-04,254784,,1620393,,240309,
INIT-018,2027-05,206353,,1826746,,194629,
INIT-018,2027-06,150407,,1977153,,141862,
INIT-018,2027-07,98661,,2075814,,93056,
INIT-018,2027-08,58243,,2134057,,54934,
INIT-018,2027-09,30943,,2165000,,29185,
INIT-018,2027-10,0,,2165000,,0,
INIT-018,2027-11,0,,2165000,,0,
INIT-018,2027-12,0,,2165000,,0,
INIT-019,2026-01,0,0,0,0,0,0
INIT-019,2026-02,30441,25234,30441,25234,30685,0
INIT-019,2026-03,48456,42532,78897,67766,48844,0
INIT-019,2026-04,73250,59406,152147,127172,73836,0
INIT-019,2026-05,105157,106422,257304,233594,105998,0
INIT-019,2026-06,143361,145937,400665,379531,144508,0
INIT-019,2026-07,185607,163951,586272,543482,187092,0
INIT-019,2026-08,228205,,814477,,230031,
INIT-019,2026-09,266455,,1080932,,268587,
INIT-019,2026-10,295453,,1376385,,297817,
INIT-019,2026-11,311115,,1687500,,313604,
INIT-019,2026-12,311115,,1998615,,313604,
INIT-019,2027-01,295453,,2294068,,297817,
INIT-019,2027-02,266455,,2560523,,268587,
INIT-019,2027-03,228205,,2788728,,230031,
INIT-019,2027-04,185607,,2974335,,187092,
INIT-019,2027-05,143361,,3117696,,144508,
INIT-019,2027-06,105157,,3222853,,105998,
INIT-019,2027-07,73250,,3296103,,73836,
INIT-019,2027-08,48456,,3344559,,48844,
INIT-019,2027-09,30441,,3375000,,30685,
INIT-019,2027-10,0,,3375000,,0,
INIT-019,2027-11,0,,3375000,,0,
INIT-019,2027-12,0,,3375000,,0,
INIT-020,2026-01,0,0,0,0,0,0
INIT-020,2026-02,0,0,0,0,0,0
INIT-020,2026-03,0,0,0,0,0,0
INIT-020,2026-04,29188,38110,29188,38110,39157,0
INIT-020,2026-05,49897,49460,79085,87570,66940,0
INIT-020,2026-06,79413,99780,158498,187350,106537,0
INIT-020,2026-07,117667,146875,276165,334225,157857,0
INIT-020,2026-08,162321,,438486,,217763,
INIT-020,2026-09,208470,,646956,,279674,
INIT-020,2026-10,249268,,896224,,334407,
INIT-020,2026-11,277484,,1173708,,372260,
INIT-020,2026-12,287583,,1461291,,385809,
INIT-020,2027-01,277484,,1738775,,372260,
INIT-020,2027-02,249268,,1988043,,334407,
INIT-020,2027-03,208470,,2196513,,279674,
INIT-020,2027-04,162321,,2358834,,217763,
INIT-020,2027-05,117667,,2476501,,157857,
INIT-020,2027-06,79413,,2555914,,106537,
INIT-020,2027-07,49897,,2605811,,66940,
INIT-020,2027-08,29188,,2634999,,39157,
INIT-020,2027-09,0,,2634999,,0,
INIT-020,2027-10,0,,2634999,,0,
INIT-020,2027-11,0,,2634999,,0,
INIT-020,2027-12,0,,2634999,,0,
INIT-021,2026-01,0,0,0,0,0,0
INIT-021,2026-02,0,0,0,0,0,0
INIT-021,2026-03,0,0,0,0,0,0
INIT-021,2026-04,0,0,0,0,0,0
INIT-021,2026-05,0,0,0,0,0,0
INIT-021,2026-06,0,0,0,0,0,0
INIT-021,2026-07,0,0,0,0,0,0
INIT-021,2026-08,0,,0,,0,
INIT-021,2026-09,20366,,20366,,20223,
INIT-021,2026-10,38335,,58701,,38066,
INIT-021,2026-11,64939,,123640,,64483,
INIT-021,2026-12,98998,,222638,,98303,
INIT-021,2027-01,135821,,358459,,134868,
INIT-021,2027-02,167699,,526158,,166522,
INIT-021,2027-03,186342,,712500,,185034,
INIT-021,2027-04,186342,,898842,,185034,
INIT-021,2027-05,167699,,1066541,,166522,
INIT-021,2027-06,135821,,1202362,,134868,
INIT-021,2027-07,98998,,1301360,,98303,
INIT-021,2027-08,64939,,1366299,,64483,
INIT-021,2027-09,38335,,1404634,,38066,
INIT-021,2027-10,20366,,1425000,,20223,
INIT-021,2027-11,0,,1425000,,0,
INIT-021,2027-12,0,,1425000,,0,
INIT-022,2026-01,0,0,0,0,0,0
INIT-022,2026-02,0,0,0,0,0,0
INIT-022,2026-03,0,0,0,0,0,0
INIT-022,2026-04,0,0,0,0,0,0
INIT-022,2026-05,0,0,0,0,0,0
INIT-022,2026-06,0,0,0,0,0,0
INIT-022,2026-07,0,0,0,0,0,0
INIT-022,2026-08,0,,0,,0,
INIT-022,2026-09,0,,0,,0,
INIT-022,2026-10,22224,,22224,,24692,
INIT-022,2026-11,39100,,61324,,43442,
INIT-022,2026-12,63458,,124782,,70505,
INIT-022,2027-01,95004,,219786,,105554,
INIT-022,2027-02,131203,,350989,,145773,
INIT-022,2027-03,167147,,518136,,185709,
INIT-022,2027-04,196426,,714562,,218239,
INIT-022,2027-05,212937,,927499,,236584,
INIT-022,2027-06,212937,,1140436,,236584,
INIT-022,2027-07,196426,,1336862,,218239,
INIT-022,2027-08,167147,,1504009,,185709,
INIT-022,2027-09,131203,,1635212,,145773,
INIT-022,2027-10,95004,,1730216,,105554,
INIT-022,2027-11,63458,,1793674,,70505,
INIT-022,2027-12,39100,,1832774,,43442,
INIT-023,2026-01,0,0,0,0,0,0
INIT-023,2026-02,23202,18692,23202,18692,22373,0
INIT-023,2026-03,47542,47049,70744,65741,45843,0
INIT-023,2026-04,84398,80998,155142,146739,81381,0
INIT-023,2026-05,129798,110648,284940,257387,125159,0
INIT-023,2026-06,172939,147022,457879,404409,166758,0
INIT-023,2026-07,199621,173998,657500,578407,192486,0
INIT-023,2026-08,199621,,857121,,192486,
INIT-023,2026-09,172939,,1030060,,166758,
INIT-023,2026-10,129798,,1159858,,125159,
INIT-023,2026-11,84398,,1244256,,81381,
INIT-023,2026-12,47542,,1291798,,45843,
INIT-023,2027-01,23202,,1315000,,22373,
INIT-023,2027-02,0,,1315000,,0,
INIT-023,2027-03,0,,1315000,,0,
INIT-023,2027-04,0,,1315000,,0,
INIT-023,2027-05,0,,1315000,,0,
INIT-023,2027-06,0,,1315000,,0,
INIT-023,2027-07,0,,1315000,,0,
INIT-023,2027-08,0,,1315000,,0,
INIT-023,2027-09,0,,1315000,,0,
INIT-023,2027-10,0,,1315000,,0,
INIT-023,2027-11,0,,1315000,,0,
INIT-023,2027-12,0,,1315000,,0,
INIT-024,2026-01,0,0,0,0,0,0
INIT-024,2026-02,0,0,0,0,0,0
INIT-024,2026-03,0,0,0,0,0,0
INIT-024,2026-04,0,0,0,0,0,0
INIT-024,2026-05,0,0,0,0,0,0
INIT-024,2026-06,0,0,0,0,0,0
INIT-024,2026-07,0,0,0,0,0,0
INIT-024,2026-08,0,,0,,0,
INIT-024,2026-09,0,,0,,0,
INIT-024,2026-10,0,,0,,0,
INIT-024,2026-11,0,,0,,0,
INIT-024,2026-12,0,,0,,0,
INIT-024,2027-01,22344,,22344,,20846,
INIT-024,2027-02,39311,,61655,,36676,
INIT-024,2027-03,63800,,125455,,59524,
INIT-024,2027-04,95516,,220971,,89114,
INIT-024,2027-05,131911,,352882,,123070,
INIT-024,2027-06,168048,,520930,,156785,
INIT-024,2027-07,197485,,718415,,184249,
INIT-024,2027-08,214085,,932500,,199736,
INIT-024,2027-09,214085,,1146585,,199736,
INIT-024,2027-10,197485,,1344070,,184249,
INIT-024,2027-11,168048,,1512118,,156785,
INIT-024,2027-12,131911,,1644029,,123070,
INIT-025,2026-01,0,0,0,0,0,0
INIT-025,2026-02,0,0,0,0,0,0
INIT-025,2026-03,0,0,0,0,0,0
INIT-025,2026-04,0,0,0,0,0,0
INIT-025,2026-05,0,0,0,0,0,0
INIT-025,2026-06,0,0,0,0,0,0
INIT-025,2026-07,25928,30152,25928,30152,33188,0
INIT-025,2026-08,55908,,81836,,71562,
INIT-025,2026-09,101631,,183467,,130088,
INIT-025,2026-10,155747,,339214,,199356,
INIT-025,2026-11,201213,,540427,,257553,
INIT-025,2026-12,219146,,759573,,280507,
INIT-025,2027-01,201213,,960786,,257553,
INIT-025,2027-02,155747,,1116533,,199356,
INIT-025,2027-03,101631,,1218164,,130088,
