initiative_id,name,function,pillar,owner,sponsor,business_unit,description,objective,start_date,end_date,duration_months,stage,rag_status,percent_complete,priority_score,strategic_alignment,value_confidence,complexity,effort_fte,capex,opex,total_budget,spend_to_date,forecast_at_completion,annual_benefit_target,benefit_type,benefit_start_month,benefit_ramp_months,npv,payback_months,run_rate_savings,resource_type_needed,key_systems,region,is_regulatory,tags
INIT-011,Field Service Route Optimisation,Operations,Run Better,Sinead Mehta,Group COO,Corporate Functions,Standardise how the operation runs day to day across sites through field service route optimisation. Delivery is phased by business unit so that lessons from the pilot site inform the wider rollout. Benefits are tracked as run-rate savings validated jointly with Finance.,Remove duplicated activity and consolidate onto one way of working,2026-06-22,2027-03-22,9,Paused,Amber,15,96,4,High,3,5.1,612000,1288000,1900000,299509,2226000,2990000,Cost Save,10,6,9434000,18,2990000,Business Analyst,Snowflake,Benelux,False,automation; commercial; wave-1
INIT-012,Preventive Maintenance Programme Overhaul,Operations,Run Better,Tessa Farouk,MD Industrial Services,Corporate Functions,Standardise how the operation runs day to day across sites through preventive maintenance programme overhaul. The team works with the affected functions to agree the target-state process before build starts. Value is booked as cost avoided versus the do-nothing forecast.,Avoid future cost that would otherwise be incurred under the current model,2026-04-27,2027-02-27,10,In Flight,Green,36,83,4,Low,2,4.3,449000,956000,1405000,534813,1326000,2200000,Cost Avoidance,11,9,6935000,19,2200000,Change Manager,OneTrust; Snowflake,DACH,False,commercial; quick-win
INIT-013,Contact Centre Operating Model Redesign,Operations,Run Better,Isla Rahman,MD Industrial Services,Distribution & Logistics,Standardise how the operation runs day to day across sites through contact centre operating model redesign. The team works with the affected functions to agree the target-state process before build starts. Benefits are tracked as run-rate savings validated jointly with Finance.,Reduce third-party spend through consolidation and renegotiation,2027-02-22,2029-02-22,24,Approved,Green,1,87,5,Med,5,11.2,589000,2076000,2665000,26996,2750000,3410000,Cost Save,26,9,6415000,35,3410000,Business Analyst,Blackline; Dynamics 365,UK & Ireland,False,cross-function; customer-facing; wave-1
INIT-014,Depot Consolidation - Northern Region,Operations,Cost Out,Marcus Halvorsen,Group COO,Corporate Functions,Standardise how the operation runs day to day across sites through depot consolidation - northern region. Work is sequenced behind the foundational platform initiatives to avoid rework. Benefits are tracked as run-rate savings validated jointly with Finance.,Reduce third-party spend through consolidation and renegotiation,2027-06-14,2028-09-14,15,Business Case,Green,0,73,3,Med,4,5.7,1254000,1316000,2570000,0,2595000,2990000,Cost Save,15,4,6998000,25,2990000,Process Engineer,Dynamics 365; MuleSoft; Snowflake,Benelux,False,efficiency; vendor-led
INIT-015,Robotic Process Automation Factory,Operations,Run Better,Tessa Ferreira,MD Industrial Services,Corporate Functions,Standardise how the operation runs day to day across sites through robotic process automation factory. A pilot in one region proves the operating model before the group-wide rollout is committed. Benefits are tracked as run-rate savings validated jointly with Finance.,Deliver a sustainable reduction in run-rate operating cost,2026-01-03,2027-01-03,12,In Flight,Amber,52,90,5,Low,1,2.7,342000,1103000,1445000,836254,1600000,1180000,Cost Save,15,9,2331000,30,1180000,Business Analyst,AWS; MuleSoft; Okta,North America,False,data-dependent; site-based
INIT-016,Quality Management System Harmonisation,Operations,Protect,Rafael Novak,MD Industrial Services,Digital & Customer,"Standardise how the operation runs day to day across sites through quality management system harmonisation. Scope is deliberately held to one function in the first phase, with cross-function extension in phase two. Value is expressed as reduced residual risk exposure rather than cash.",Reduce residual risk exposure to within board-agreed appetite,2026-02-09,2027-01-09,11,In Flight,Red,33,75,5,Low,3,7.4,324000,901000,1225000,540227,1374000,380000,Risk Reduction,14,9,-9000,53,133000,Change Manager,AWS; Azure,Benelux,True,customer-facing; people-impact; quick-win
INIT-017,Health & Safety Digital Reporting,Operations,Protect,Tessa Whitfield,Group COO,Energy Solutions,"Standardise how the operation runs day to day across sites through health & safety digital reporting. The programme runs a discovery phase first, then design, build and a site-by-site deployment. Value is expressed as reduced residual risk exposure rather than cash.",Reduce residual risk exposure to within board-agreed appetite,2026-07-27,2027-09-27,14,Paused,Red,2,81,5,Med,2,3.3,381000,1309000,1690000,41326,2013000,310000,Risk Reduction,17,6,-698000,82,108500,Process Engineer,Azure; SAP ECC; SAP S/4HANA,Nordics,True,cross-function; vendor-led
INIT-018,Service Scheduling & Dispatch Standardisation,Operations,Run Better,Hamish Adeyemi,Group COO,Industrial Services,"Standardise how the operation runs day to day across sites through service scheduling & dispatch standardisation. Scope is deliberately held to one function in the first phase, with cross-function extension in phase two. Benefits are tracked as run-rate savings validated jointly with Finance.",Remove duplicated activity and consolidate onto one way of working,2026-08-04,2027-09-04,13,In Flight,Green,2,77,5,Med,4,8.5,919000,1246000,2165000,40530,2042000,1040000,Cost Save,15,9,1163000,40,1040000,Process Engineer,Kinaxis; OneTrust; Salesforce,UK & Ireland,False,commercial; efficiency; people-impact
INIT-019,Asset Utilisation & Fleet Telematics,Operations,Cost Out,Sinead Boateng,MD Industrial Services,Distribution & Logistics,Standardise how the operation runs day to day across sites through asset utilisation & fleet telematics. Work is sequenced behind the foundational platform initiatives to avoid rework. Benefits are tracked as run-rate savings validated jointly with Finance.,Reduce third-party spend through consolidation and renegotiation,2026-02-05,2027-09-05,19,In Flight,Green,32,74,4,Med,5,7.8,1140000,2235000,3375000,1016732,3402000,3910000,Cost Save,22,6,9137000,32,3910000,Process Engineer,Coupa; Dynamics 365; Kronos,UK & Ireland,False,board-visible; data-dependent; efficiency
INIT-020,Supplier Rationalisation Wave 2,Supply Chain,Cost Out,Bjorn Whitfield,MD Distribution & Logistics,Corporate Functions,"Take cost and variability out of the end-to-end supply chain through supplier rationalisation wave 2. Scope is deliberately held to one function in the first phase, with cross-function extension in phase two. Benefits are tracked as run-rate savings validated jointly with Finance.",Reduce third-party spend through consolidation and renegotiation,2026-04-19,2027-08-19,16,In Flight,Red,12,63,3,Med,3,5.1,738000,1897000,2635000,459522,3535000,3140000,Cost Save,19,6,7413000,29,3140000,Business Analyst,Manhattan WMS; Tableau,DACH,False,cross-function; foundational; site-based
INIT-021,Distribution Network Redesign,Supply Chain,Cost Out,Sinead Fraser,Group Supply Chain Director,Digital & Customer,Take cost and variability out of the end-to-end supply chain through distribution network redesign. A pilot in one region proves the operating model before the group-wide rollout is committed. Benefits are tracked as run-rate savings validated jointly with Finance.,Reduce third-party spend through consolidation and renegotiation,2026-09-07,2027-10-07,13,Business Case,Green,0,73,4,Med,3,3.9,464000,961000,1425000,0,1415000,1110000,Cost Save,13,4,2127000,28,1110000,Process Engineer,Archer GRC,Benelux,False,quick-win; wave-1
INIT-022,S&OP Process Standardisation,Supply Chain,Run Better,Zoya Petrova,Group Supply Chain Director,Digital & Customer,Take cost and variability out of the end-to-end supply chain through s&op process standardisation. Work is sequenced behind the foundational platform initiatives to avoid rework. Benefits are tracked as run-rate savings validated jointly with Finance.,Remove duplicated activity and consolidate onto one way of working,2026-10-24,2028-01-24,15,Business Case,Amber,0,65,4,Low,4,6.2,1023000,832000,1855000,0,2061000,2300000,Cost Save,16,4,5505000,26,2300000,Data Engineer,OneTrust; ServiceNow,Benelux,False,compliance; foundational; wave-1
INIT-023,Inbound Freight Cost Reduction,Supply Chain,Cost Out,Idris Vlach,Group Supply Chain Director,Distribution & Logistics,Take cost and variability out of the end-to-end supply chain through inbound freight cost reduction. A pilot in one region proves the operating model before the group-wide rollout is committed. Benefits are tracked as run-rate savings validated jointly with Finance.,Deliver a sustainable reduction in run-rate operating cost,2026-02-20,2027-01-20,11,In Flight,Green,50,100,4,High,2,4.4,646000,669000,1315000,648155,1268000,1890000,Cost Save,11,12,5850000,19,1890000,Process Engineer,SAP S/4HANA,Nordics,False,data-dependent; foundational; wave-1
INIT-024,Warehouse Automation Pilot,Supply Chain,Run Better,Elise Doherty,Group Supply Chain Director,Digital & Customer,Take cost and variability out of the end-to-end supply chain through warehouse automation pilot. Work is sequenced behind the foundational platform initiatives to avoid rework. Value is booked as cost avoided versus the do-nothing forecast.,Defer capital replacement through better asset utilisation,2027-01-26,2028-04-26,15,Approved,Green,3,50,2,Low,3,4.7,857000,1008000,1865000,58440,1740000,1330000,Cost Avoidance,15,12,2391000,32,1330000,Data Engineer,MuleSoft,DACH,False,cash-release; efficiency; people-impact
INIT-025,Inventory Optimisation & Safety Stock Reset,Supply Chain,Cost Out,Sinead Whitfield,Group Supply Chain Director,Energy Solutions,Take cost and variability out of the end-to-end supply chain through inventory optimisation & safety stock reset. Work is sequenced behind the foundational platform initiatives to avoid rework. Benefits are tracked as run-rate savings validated jointly with Finance.,Reduce third-party spend through consolidation and renegotiation,2026-07-24,2027-05-24,10,At Risk,Red,4,92,5,Low,2,4.7,468000,832000,1300000,68206,1664000,2060000,Cost Save,13,6,5292000,21,2060000,Process Engineer,SAP ECC; Salesforce,North America,False,board-visible; compliance; data-dependent; vendor-led
INIT-026,Warehouse Management System Upgrade,Supply Chain,Run Better,Beatriz Nair,MD Distribution & Logistics,Corporate Functions,Take cost and variability out of the end-to-end supply chain through warehouse management system upgrade. A pilot in one region proves the operating model before the group-wide rollout is committed. Benefits are tracked as run-rate savings validated jointly with Finance.,Reduce third-party spend through consolidation and renegotiation,2026-01-08,2027-01-08,12,In Flight,Amber,55,68,3,High,5,8.9,1026000,754000,1780000,1136699,1943000,1770000,Cost Save,15,9,3884000,27,1770000,Process Engineer,SAP ECC; ServiceNow,North America,False,board-visible; cash-release; commercial
INIT-027,Packaging & Consumables Standardisation,Supply Chain,Cost Out,Maeve Farouk,Group Supply Chain Director,Corporate Functions,Take cost and variability out of the end-to-end supply chain through packaging & consumables standardisation. Delivery is phased by business unit so that lessons from the pilot site inform the wider rollout. Benefits are tracked as run-rate savings validated jointly with Finance.,Deliver a sustainable reduction in run-rate operating cost,2026-08-17,2028-01-17,17,Business Case,Green,0,94,5,Med,5,11.3,1401000,1029000,2430000,0,2372000,3490000,Cost Save,20,3,8738000,28,3490000,Data Engineer,Coupa; OneTrust; Salesforce,Benelux,False,operating-model; quick-win
INIT-028,Order-to-Cash Automation,Finance,Run Better,Marcus Bramley,Group CFO,Corporate Functions,Simplify and automate the finance process landscape through order-to-cash automation. Delivery is phased by business unit so that lessons from the pilot site inform the wider rollout. Benefits are tracked as run-rate savings validated jointly with Finance.,Reduce third-party spend through consolidation and renegotiation,2026-03-15,2028-01-15,22,Approved,Green,23,60,2,High,4,9.1,321000,1569000,1890000,419919,1974000,2210000,Cost Save,25,9,3995000,35,2210000,Business Analyst,Oracle EBS; Salesforce; Tableau,North America,False,cash-release; people-impact; quick-win
INIT-029,Month-End Close Acceleration,Finance,Run Better,Maeve Whitfield,Group CFO,Industrial Services,Simplify and automate the finance process landscape through month-end close acceleration. Work is sequenced behind the foundational platform initiatives to avoid rework. Benefits are tracked as run-rate savings validated jointly with Finance.,Remove duplicated activity and consolidate onto one way of working,2026-01-29,2027-01-29,12,In Flight,Green,52,64,2,High,3,5.6,313000,722000,1035000,523967,1035000,740000,Cost Save,14,6,1333000,31,740000,Business Analyst,Archer GRC; Mainframe OMS; ServiceNow,North America,False,commercial; operating-model; vendor-led
INIT-030,Procurement Source-to-Pay Redesign,Finance,Cost Out,Zoya Doherty,Group CFO,Industrial Services,"Simplify and automate the finance process landscape through procurement source-to-pay redesign. Scope is deliberately held to one function in the first phase, with cross-function extension in phase two. Benefits are tracked as run-rate savings validated jointly with Finance.",Reduce third-party spend through consolidation and renegotiation,2026-04-12,2027-10-12,18,In Flight,Green,22,71,3,Low,4,7.1,440000,790000,1230000,263946,1259000,1930000,Cost Save,21,6,4946000,29,1930000,ERP Consultant,ServiceNow,Benelux,False,cash-release; compliance
INIT-031,Finance Shared Services Centre Stand-Up,Finance,Cost Out,Beatriz Farouk,Group Financial Controller,Industrial Services,Simplify and automate the finance process landscape through finance shared services centre stand-up. Work is sequenced behind the foundational platform initiatives to avoid rework. Benefits are tracked as run-rate savings validated jointly with Finance.,Deliver a sustainable reduction in run-rate operating cost,2026-08-07,2027-04-07,8,At Risk,Red,1,80,3,Med,1,2.6,272000,448000,720000,10655,913000,990000,Cost Save,10,3,3033000,19,990000,Process Engineer,Blackline; Salesforce,Benelux,False,customer-facing; site-based; wave-1
INIT-032,Working Capital - Payables Terms Harmonisation,Finance,Cost Out,Lena Kilbride,Group Financial Controller,Digital & Customer,Simplify and automate the finance process landscape through working capital - payables terms harmonisation. Work is sequenced behind the foundational platform initiatives to avoid rework. Value is booked as cost avoided versus the do-nothing forecast.,Avoid future cost that would otherwise be incurred under the current model,2026-07-10,2027-05-10,10,In Flight,Amber,9,42,2,Low,1,3.0,272000,608000,880000,91889,893000,440000,Cost Avoidance,10,6,788000,34,440000,ERP Consultant,Archer GRC; Salesforce,Benelux,False,commercial; compliance; quick-win; vendor-led
INIT-033,Group Planning & Forecasting Rebuild (FP&A),Finance,Run Better,Nadia Menzies,Group CFO,Industrial Services,Simplify and automate the finance process landscape through group planning & forecasting rebuild (fp&a). The team works with the affected functions to agree the target-state process before build starts. This is an enabling investment; value is realised through the initiatives it unlocks.,Build a reusable capability that later initiatives depend on,2026-12-07,2027-11-07,11,Approved,Green,0,36,2,Low,2,3.7,346000,1084000,1430000,0,1377000,280000,Capability,14,3,-534000,75,98000,ERP Consultant,Azure; Coupa; Snowflake,Nordics,False,board-visible; commercial; quick-win; vendor-led
INIT-034,Insurance Programme Restructure,Finance,Cost Out,Nuala Arnesen,Group CFO,Industrial Services,Simplify and automate the finance process landscape through insurance programme restructure. Work is sequenced behind the foundational platform initiatives to avoid rework. Value is booked as cost avoided versus the do-nothing forecast.,Defer capital replacement through better asset utilisation,2026-03-08,2027-02-08,11,In Flight,Red,33,50,3,Med,5,5.8,285000,1565000,1850000,804873,2109000,970000,Cost Avoidance,14,6,1254000,37,970000,Business Analyst,Kronos; Salesforce,Benelux,False,cash-release; foundational; operating-model; people-impact
INIT-035,HRIS Consolidation to Workday,HR / People,Run Better,Anika Rahman,Group COO,Energy Solutions,"Change how the organisation is structured, staffed and led through hris consolidation to workday. A pilot in one region proves the operating model before the group-wide rollout is committed. Benefits are tracked as run-rate savings validated jointly with Finance.",Deliver a sustainable reduction in run-rate operating cost,2026-03-17,2026-10-17,7,At Risk,Red,46,92,4,Med,1,2.0,93000,367000,460000,253024,611000,670000,Cost Save,8,6,2080000,16,670000,HR Business Partner,Mainframe OMS; MuleSoft; SAP IBP,UK & Ireland,False,automation; board-visible; compliance; site-based
INIT-036,Frontline Hiring Funnel Redesign,HR / People,Run Better,Hamish Reinholt,Group COO,Digital & Customer,"Change how the organisation is structured, staffed and led through frontline hiring funnel redesign. The team works with the affected functions to agree the target-state process before build starts. Value is booked as cost avoided versus the do-nothing forecast.",Avoid future cost that would otherwise be incurred under the current model,2026-01-31,2027-12-31,23,In Flight,Green,27,65,4,Low,5,9.0,576000,1784000,2360000,672612,2358000,1640000,Cost Avoidance,26,4,2007000,43,1640000,Business Analyst,AWS; Kronos; SAP ECC,Nordics,False,operating-model; people-impact; wave-1
INIT-037,Manager Capability Programme,HR / People,Run Better,Maeve Nair,Group COO,Corporate Functions,"Change how the organisation is structured, staffed and led through manager capability programme. Scope is deliberately held to one function in the first phase, with cross-function extension in phase two. This is an enabling investment; value is realised through the initiatives it unlocks.",Establish the data and integration foundation for the wider portfolio,2026-11-27,2027-05-27,6,Business Case,Green,0,49,2,Low,1,1.6,84000,286000,370000,0,363000,40000,Capability,8,6,-218000,119,14000,HR Business Partner,Kinaxis; Tableau,Benelux,False,automation; customer-facing; site-based
INIT-038,Shared Services HR Operating Model,HR / People,Cost Out,Yusuf Whitfield,Group COO,Industrial Services,"Change how the organisation is structured, staffed and led through shared services hr operating model. Work is sequenced behind the foundational platform initiatives to avoid rework. Benefits are tracked as run-rate savings validated jointly with Finance.",Reduce third-party spend through consolidation and renegotiation,2026-07-29,2027-05-29,10,In Flight,Amber,4,85,5,High,3,5.1,207000,733000,940000,40618,958000,700000,Cost Save,12,3,1300000,28,700000,Change Manager,Mainframe OMS,UK & Ireland,False,board-visible; commercial; people-impact
INIT-039,Organisational Delayering & Span of Control,HR / People,Cost Out,Yusuf Arnesen,Group HR Director,Digital & Customer,"Change how the organisation is structured, staffed and led through organisational delayering & span of control. The team works with the affected functions to agree the target-state process before build starts. Benefits are tracked as run-rate savings validated jointly with Finance.",Deliver a sustainable reduction in run-rate operating cost,2026-08-08,2028-06-08,22,At Risk,Red,1,53,4,Low,5,11.5,463000,1947000,2410000,31924,2740000,2290000,Cost Save,25,9,3688000,38,2290000,HR Business Partner,Archer GRC; Manhattan WMS,Nordics,False,board-visible; cross-function
INIT-040,Overtime & Absence Management,HR / People,Cost Out,Nadia Doherty,Group HR Director,Energy Solutions,"Change how the organisation is structured, staffed and led through overtime & absence management. The team works with the affected functions to agree the target-state process before build starts. Benefits are tracked as run-rate savings validated jointly with Finance.",Deliver a sustainable reduction in run-rate operating cost,2026-05-12,2027-04-12,11,In Flight,Amber,26,97,5,Med,2,3.9,181000,669000,850000,255526,956000,1350000,Cost Save,13,12,3470000,21,1350000,Business Analyst,SAP S/4HANA; Tableau,UK & Ireland,False,efficiency; foundational; wave-1
INIT-041,Contractor to Permanent Conversion,HR / People,Cost Out,Yusuf Demir,Group HR Director,Energy Solutions,"Change how the organisation is structured, staffed and led through contractor to permanent conversion. A pilot in one region proves the operating model before the group-wide rollout is committed. Benefits are tracked as run-rate savings validated jointly with Finance.",Remove duplicated activity and consolidate onto one way of working,2026-02-16,2028-01-16,23,In Flight,Amber,23,57,3,High,5,11.2,517000,1893000,2410000,632456,2871000,2330000,Cost Save,25,12,3794000,37,2330000,Programme Manager,Coupa; Mainframe OMS,North America,False,automation; commercial; efficiency; foundational
INIT-042,Customer Segmentation & Pricing Analytics,Growth / Commercial,Grow,Struan Lindqvist,Chief Commercial Officer,Corporate Functions,Open a route to revenue that the current commercial model does not serve through customer segmentation & pricing analytics. The team works with the affected functions to agree the target-state process before build starts. Value is measured as incremental margin against a pre-agreed baseline.,Improve win rate and average deal value in target segments,2026-06-21,2027-01-21,7,In Flight,Green,23,64,2,Med,1,2.0,141000,609000,750000,160668,725000,730000,Revenue Uplift,10,4,2017000,22,255499,Data Engineer,Manhattan WMS,DACH,False,customer-facing; people-impact
INIT-043,E-Commerce Channel Launch,Growth / Commercial,Grow,Tessa Kilbride,Chief Commercial Officer,Corporate Functions,Open a route to revenue that the current commercial model does not serve through e-commerce channel launch. A pilot in one region proves the operating model before the group-wide rollout is committed. Value is measured as incremental margin against a pre-agreed baseline.,Establish a new revenue stream with a repeatable commercial model,2027-02-04,2027-09-04,7,Idea,Green,0,73,3,Med,2,4.2,312000,813000,1125000,0,1136000,1330000,Revenue Uplift,8,9,3917000,18,465499,Business Analyst,Azure; Kinaxis; Tableau,DACH,False,cash-release; cross-function; operating-model; site-based
INIT-044,Key Account Management Programme,Growth / Commercial,Grow,Nuala Boateng,Chief Commercial Officer,Corporate Functions,Open a route to revenue that the current commercial model does not serve through key account management programme. Delivery is phased by business unit so that lessons from the pilot site inform the wider rollout. Value is measured as incremental margin against a pre-agreed baseline.,Grow incremental revenue from existing and new customers,2026-06-08,2027-08-08,14,In Flight,Red,9,36,2,Med,4,8.8,457000,1163000,1620000,214399,1860000,950000,Revenue Uplift,17,6,1420000,37,332500,Data Engineer,Manhattan WMS; SAP ECC,Benelux,False,automation; site-based
INIT-045,New Market Entry - Nordics,Growth / Commercial,Grow,Struan Lindqvist,MD Energy Solutions,Industrial Services,Open a route to revenue that the current commercial model does not serve through new market entry - nordics. A pilot in one region proves the operating model before the group-wide rollout is committed. Value is measured as incremental margin against a pre-agreed baseline.,Grow incremental revenue from existing and new customers,2027-07-11,2028-04-11,9,Business Case,Green,0,70,2,Med,2,2.7,486000,864000,1350000,0,1302000,1540000,Revenue Uplift,10,12,4488000,21,539000,Business Analyst,SAP S/4HANA; Salesforce,Nordics,False,cash-release; foundational; operating-model
INIT-046,Aftermarket Services Proposition,Growth / Commercial,Grow,Gregor Doherty,Chief Commercial Officer,Energy Solutions,Open a route to revenue that the current commercial model does not serve through aftermarket services proposition. Delivery is phased by business unit so that lessons from the pilot site inform the wider rollout. Value is measured as incremental margin against a pre-agreed baseline.,Improve win rate and average deal value in target segments,2027-02-11,2028-03-11,13,Business Case,Green,0,42,2,Low,5,8.7,501000,1749000,2250000,0,2143000,2220000,Revenue Uplift,15,3,4854000,27,777000,Change Manager,Kronos,North America,False,board-visible; efficiency
INIT-047,Subscription Maintenance Offering,Growth / Commercial,Grow,Struan Whitfield,MD Energy Solutions,Energy Solutions,Open a route to revenue that the current commercial model does not serve through subscription maintenance offering. Delivery is phased by business unit so that lessons from the pilot site inform the wider rollout. Value is measured as incremental margin against a pre-agreed baseline.,Establish a new revenue stream with a repeatable commercial model,2027-01-23,2028-03-23,14,Approved,Green,3,39,2,Low,3,5.2,550000,1490000,2040000,57865,2128000,790000,Revenue Uplift,15,3,488000,46,276500,Change Manager,ServiceNow,DACH,False,efficiency; vendor-led
INIT-048,Bid & Tender Win-Rate Improvement,Growth / Commercial,Grow,Nuala Petrova,MD Energy Solutions,Distribution & Logistics,"Open a route to revenue that the current commercial model does not serve through bid & tender win-rate improvement. Scope is deliberately held to one function in the first phase, with cross-function extension in phase two. Value is measured as incremental margin against a pre-agreed baseline.",Improve win rate and average deal value in target segments,2026-03-05,2027-04-05,13,At Risk,Amber,38,49,2,Med,3,6.4,562000,913000,1475000,661518,1485000,1360000,Revenue Uplift,14,9,2877000,27,475999,Data Engineer,SAP S/4HANA; Tableau,North America,False,commercial; efficiency; vendor-led
