initiative_id,month,benefit_plan,benefit_actual,pnl_impact_type,confidence
INIT-005,2026-10,0,,Opex reduction,Med
INIT-005,2026-11,0,,Opex reduction,Med
INIT-005,2026-12,0,,Opex reduction,Med
INIT-005,2027-01,0,,Opex reduction,Med
INIT-005,2027-02,0,,Opex reduction,Med
INIT-005,2027-03,0,,Opex reduction,Med
INIT-005,2027-04,0,,Opex reduction,Med
INIT-005,2027-05,0,,Opex reduction,Med
INIT-005,2027-06,0,,Opex reduction,Med
INIT-005,2027-07,0,,Opex reduction,Med
INIT-005,2027-08,0,,Opex reduction,Med
INIT-005,2027-09,0,,Opex reduction,Med
INIT-005,2027-10,34167,,Opex reduction,Med
INIT-005,2027-11,68333,,Opex reduction,Med
INIT-005,2027-12,102500,,Opex reduction,Med
INIT-006,2026-01,0,0,Opex reduction,Low
INIT-006,2026-02,0,0,Opex reduction,Low
INIT-006,2026-03,0,0,Opex reduction,Low
INIT-006,2026-04,0,0,Opex reduction,Low
INIT-006,2026-05,0,0,Opex reduction,Low
INIT-006,2026-06,0,0,Opex reduction,Low
INIT-006,2026-07,0,0,Opex reduction,Low
INIT-006,2026-08,0,,Opex reduction,Low
INIT-006,2026-09,0,,Opex reduction,Low
INIT-006,2026-10,0,,Opex reduction,Low
INIT-006,2026-11,0,,Opex reduction,Low
INIT-006,2026-12,0,,Opex reduction,Low
INIT-006,2027-01,0,,Opex reduction,Low
INIT-006,2027-02,0,,Opex reduction,Low
INIT-006,2027-03,0,,Opex reduction,Low
INIT-006,2027-04,0,,Opex reduction,Low
INIT-006,2027-05,0,,Opex reduction,Low
INIT-006,2027-06,36458,,Opex reduction,Low
INIT-006,2027-07,72917,,Opex reduction,Low
INIT-006,2027-08,109375,,Opex reduction,Low
INIT-006,2027-09,145833,,Opex reduction,Low
INIT-006,2027-10,145833,,Opex reduction,Low
INIT-006,2027-11,145833,,Opex reduction,Low
INIT-006,2027-12,145833,,Opex reduction,Low
INIT-007,2026-01,0,0,Gross margin,Med
INIT-007,2026-02,0,0,Gross margin,Med
INIT-007,2026-03,0,0,Gross margin,Med
INIT-007,2026-04,0,0,Gross margin,Med
INIT-007,2026-05,0,0,Gross margin,Med
INIT-007,2026-06,0,0,Gross margin,Med
INIT-007,2026-07,0,0,Gross margin,Med
INIT-007,2026-08,0,,Gross margin,Med
INIT-007,2026-09,0,,Gross margin,Med
INIT-007,2026-10,0,,Gross margin,Med
INIT-007,2026-11,0,,Gross margin,Med
INIT-007,2026-12,0,,Gross margin,Med
INIT-007,2027-01,0,,Gross margin,Med
INIT-007,2027-02,0,,Gross margin,Med
INIT-007,2027-03,0,,Gross margin,Med
INIT-007,2027-04,0,,Gross margin,Med
INIT-007,2027-05,45833,,Gross margin,Med
INIT-007,2027-06,91667,,Gross margin,Med
INIT-007,2027-07,137500,,Gross margin,Med
INIT-007,2027-08,183333,,Gross margin,Med
INIT-007,2027-09,183333,,Gross margin,Med
INIT-007,2027-10,183333,,Gross margin,Med
INIT-007,2027-11,183333,,Gross margin,Med
INIT-007,2027-12,183333,,Gross margin,Med
INIT-008,2026-01,0,0,Enabling (attributed to downstream),Low
INIT-008,2026-02,0,0,Enabling (attributed to downstream),Low
INIT-008,2026-03,0,0,Enabling (attributed to downstream),Low
INIT-008,2026-04,0,0,Enabling (attributed to downstream),Low
INIT-008,2026-05,0,0,Enabling (attributed to downstream),Low
INIT-008,2026-06,0,0,Enabling (attributed to downstream),Low
INIT-008,2026-07,0,0,Enabling (attributed to downstream),Low
INIT-008,2026-08,0,,Enabling (attributed to downstream),Low
INIT-008,2026-09,0,,Enabling (attributed to downstream),Low
INIT-008,2026-10,0,,Enabling (attributed to downstream),Low
INIT-008,2026-11,0,,Enabling (attributed to downstream),Low
INIT-008,2026-12,0,,Enabling (attributed to downstream),Low
INIT-008,2027-01,0,,Enabling (attributed to downstream),Low
INIT-008,2027-02,0,,Enabling (attributed to downstream),Low
INIT-008,2027-03,0,,Enabling (attributed to downstream),Low
INIT-008,2027-04,3750,,Enabling (attributed to downstream),Low
INIT-008,2027-05,7500,,Enabling (attributed to downstream),Low
INIT-008,2027-06,11250,,Enabling (attributed to downstream),Low
INIT-008,2027-07,15000,,Enabling (attributed to downstream),Low
INIT-008,2027-08,18750,,Enabling (attributed to downstream),Low
INIT-008,2027-09,22500,,Enabling (attributed to downstream),Low
INIT-008,2027-10,22500,,Enabling (attributed to downstream),Low
INIT-008,2027-11,22500,,Enabling (attributed to downstream),Low
INIT-008,2027-12,22500,,Enabling (attributed to downstream),Low
INIT-009,2026-01,0,0,Opex reduction,Med
INIT-009,2026-02,0,0,Opex reduction,Med
INIT-009,2026-03,0,0,Opex reduction,Med
INIT-009,2026-04,0,0,Opex reduction,Med
INIT-009,2026-05,0,0,Opex reduction,Med
INIT-009,2026-06,0,0,Opex reduction,Med
INIT-009,2026-07,0,0,Opex reduction,Med
INIT-009,2026-08,0,,Opex reduction,Med
INIT-009,2026-09,0,,Opex reduction,Med
INIT-009,2026-10,0,,Opex reduction,Med
INIT-009,2026-11,0,,Opex reduction,Med
INIT-009,2026-12,0,,Opex reduction,Med
INIT-009,2027-01,0,,Opex reduction,Med
INIT-009,2027-02,0,,Opex reduction,Med
INIT-009,2027-03,0,,Opex reduction,Med
INIT-009,2027-04,0,,Opex reduction,Med
INIT-009,2027-05,0,,Opex reduction,Med
INIT-009,2027-06,0,,Opex reduction,Med
INIT-009,2027-07,11250,,Opex reduction,Med
INIT-009,2027-08,22500,,Opex reduction,Med
INIT-009,2027-09,33750,,Opex reduction,Med
INIT-009,2027-10,45000,,Opex reduction,Med
INIT-009,2027-11,45000,,Opex reduction,Med
INIT-009,2027-12,45000,,Opex reduction,Med
INIT-010,2026-01,0,0,Opex reduction,Low
INIT-010,2026-02,0,0,Opex reduction,Low
INIT-010,2026-03,0,0,Opex reduction,Low
INIT-010,2026-04,0,0,Opex reduction,Low
INIT-010,2026-05,0,0,Opex reduction,Low
INIT-010,2026-06,0,0,Opex reduction,Low
INIT-010,2026-07,0,0,Opex reduction,Low
INIT-010,2026-08,0,,Opex reduction,Low
INIT-010,2026-09,0,,Opex reduction,Low
INIT-010,2026-10,0,,Opex reduction,Low
INIT-010,2026-11,0,,Opex reduction,Low
INIT-010,2026-12,0,,Opex reduction,Low
INIT-010,2027-01,0,,Opex reduction,Low
INIT-010,2027-02,0,,Opex reduction,Low
INIT-010,2027-03,0,,Opex reduction,Low
INIT-010,2027-04,0,,Opex reduction,Low
INIT-010,2027-05,0,,Opex reduction,Low
INIT-010,2027-06,0,,Opex reduction,Low
INIT-010,2027-07,0,,Opex reduction,Low
INIT-010,2027-08,0,,Opex reduction,Low
INIT-010,2027-09,0,,Opex reduction,Low
INIT-010,2027-10,0,,Opex reduction,Low
INIT-010,2027-11,0,,Opex reduction,Low
INIT-010,2027-12,7569,,Opex reduction,Low
INIT-011,2026-01,0,0,Opex reduction,High
INIT-011,2026-02,0,0,Opex reduction,High
INIT-011,2026-03,0,0,Opex reduction,High
INIT-011,2026-04,0,0,Opex reduction,High
INIT-011,2026-05,0,0,Opex reduction,High
INIT-011,2026-06,0,0,Opex reduction,High
INIT-011,2026-07,0,0,Opex reduction,High
INIT-011,2026-08,0,,Opex reduction,High
INIT-011,2026-09,0,,Opex reduction,High
INIT-011,2026-10,0,,Opex reduction,High
INIT-011,2026-11,0,,Opex reduction,High
INIT-011,2026-12,0,,Opex reduction,High
INIT-011,2027-01,0,,Opex reduction,High
INIT-011,2027-02,0,,Opex reduction,High
INIT-011,2027-03,0,,Opex reduction,High
INIT-011,2027-04,41528,,Opex reduction,High
INIT-011,2027-05,83056,,Opex reduction,High
INIT-011,2027-06,124583,,Opex reduction,High
INIT-011,2027-07,166111,,Opex reduction,High
INIT-011,2027-08,207639,,Opex reduction,High
INIT-011,2027-09,249167,,Opex reduction,High
INIT-011,2027-10,249167,,Opex reduction,High
INIT-011,2027-11,249167,,Opex reduction,High
INIT-011,2027-12,249167,,Opex reduction,High
INIT-012,2026-01,0,0,Cost avoided (non-cash),Low
INIT-012,2026-02,0,0,Cost avoided (non-cash),Low
INIT-012,2026-03,0,0,Cost avoided (non-cash),Low
INIT-012,2026-04,0,0,Cost avoided (non-cash),Low
INIT-012,2026-05,0,0,Cost avoided (non-cash),Low
INIT-012,2026-06,0,0,Cost avoided (non-cash),Low
INIT-012,2026-07,0,0,Cost avoided (non-cash),Low
INIT-012,2026-08,0,,Cost avoided (non-cash),Low
INIT-012,2026-09,0,,Cost avoided (non-cash),Low
INIT-012,2026-10,0,,Cost avoided (non-cash),Low
INIT-012,2026-11,0,,Cost avoided (non-cash),Low
INIT-012,2026-12,0,,Cost avoided (non-cash),Low
INIT-012,2027-01,0,,Cost avoided (non-cash),Low
INIT-012,2027-02,0,,Cost avoided (non-cash),Low
INIT-012,2027-03,20370,,Cost avoided (non-cash),Low
INIT-012,2027-04,40741,,Cost avoided (non-cash),Low
INIT-012,2027-05,61111,,Cost avoided (non-cash),Low
INIT-012,2027-06,81481,,Cost avoided (non-cash),Low
INIT-012,2027-07,101852,,Cost avoided (non-cash),Low
INIT-012,2027-08,122222,,Cost avoided (non-cash),Low
INIT-012,2027-09,142593,,Cost avoided (non-cash),Low
INIT-012,2027-10,162963,,Cost avoided (non-cash),Low
INIT-012,2027-11,183333,,Cost avoided (non-cash),Low
INIT-012,2027-12,183333,,Cost avoided (non-cash),Low
INIT-013,2026-01,0,0,Opex reduction,Med
INIT-013,2026-02,0,0,Opex reduction,Med
INIT-013,2026-03,0,0,Opex reduction,Med
INIT-013,2026-04,0,0,Opex reduction,Med
INIT-013,2026-05,0,0,Opex reduction,Med
INIT-013,2026-06,0,0,Opex reduction,Med
INIT-013,2026-07,0,0,Opex reduction,Med
INIT-013,2026-08,0,,Opex reduction,Med
INIT-013,2026-09,0,,Opex reduction,Med
INIT-013,2026-10,0,,Opex reduction,Med
INIT-013,2026-11,0,,Opex reduction,Med
INIT-013,2026-12,0,,Opex reduction,Med
INIT-013,2027-01,0,,Opex reduction,Med
INIT-013,2027-02,0,,Opex reduction,Med
INIT-013,2027-03,0,,Opex reduction,Med
INIT-013,2027-04,0,,Opex reduction,Med
INIT-013,2027-05,0,,Opex reduction,Med
INIT-013,2027-06,0,,Opex reduction,Med
INIT-013,2027-07,0,,Opex reduction,Med
INIT-013,2027-08,0,,Opex reduction,Med
INIT-013,2027-09,0,,Opex reduction,Med
INIT-013,2027-10,0,,Opex reduction,Med
INIT-013,2027-11,0,,Opex reduction,Med
INIT-013,2027-12,0,,Opex reduction,Med
INIT-014,2026-01,0,0,Opex reduction,Med
INIT-014,2026-02,0,0,Opex reduction,Med
INIT-014,2026-03,0,0,Opex reduction,Med
INIT-014,2026-04,0,0,Opex reduction,Med
INIT-014,2026-05,0,0,Opex reduction,Med
INIT-014,2026-06,0,0,Opex reduction,Med
INIT-014,2026-07,0,0,Opex reduction,Med
INIT-014,2026-08,0,,Opex reduction,Med
INIT-014,2026-09,0,,Opex reduction,Med
INIT-014,2026-10,0,,Opex reduction,Med
INIT-014,2026-11,0,,Opex reduction,Med
INIT-014,2026-12,0,,Opex reduction,Med
INIT-014,2027-01,0,,Opex reduction,Med
INIT-014,2027-02,0,,Opex reduction,Med
INIT-014,2027-03,0,,Opex reduction,Med
INIT-014,2027-04,0,,Opex reduction,Med
INIT-014,2027-05,0,,Opex reduction,Med
INIT-014,2027-06,0,,Opex reduction,Med
INIT-014,2027-07,0,,Opex reduction,Med
INIT-014,2027-08,0,,Opex reduction,Med
INIT-014,2027-09,0,,Opex reduction,Med
INIT-014,2027-10,0,,Opex reduction,Med
INIT-014,2027-11,0,,Opex reduction,Med
INIT-014,2027-12,0,,Opex reduction,Med
INIT-015,2026-01,0,0,Opex reduction,Low
INIT-015,2026-02,0,0,Opex reduction,Low
INIT-015,2026-03,0,0,Opex reduction,Low
INIT-015,2026-04,0,0,Opex reduction,Low
INIT-015,2026-05,0,0,Opex reduction,Low
INIT-015,2026-06,0,0,Opex reduction,Low
INIT-015,2026-07,0,0,Opex reduction,Low
INIT-015,2026-08,0,,Opex reduction,Low
INIT-015,2026-09,0,,Opex reduction,Low
INIT-015,2026-10,0,,Opex reduction,Low
INIT-015,2026-11,0,,Opex reduction,Low
INIT-015,2026-12,0,,Opex reduction,Low
INIT-015,2027-01,0,,Opex reduction,Low
INIT-015,2027-02,0,,Opex reduction,Low
INIT-015,2027-03,0,,Opex reduction,Low
INIT-015,2027-04,10926,,Opex reduction,Low
INIT-015,2027-05,21852,,Opex reduction,Low
INIT-015,2027-06,32778,,Opex reduction,Low
INIT-015,2027-07,43704,,Opex reduction,Low
INIT-015,2027-08,54630,,Opex reduction,Low
INIT-015,2027-09,65556,,Opex reduction,Low
INIT-015,2027-10,76481,,Opex reduction,Low
INIT-015,2027-11,87407,,Opex reduction,Low
INIT-015,2027-12,98333,,Opex reduction,Low
INIT-016,2026-01,0,0,Non-financial / risk,Low
INIT-016,2026-02,0,0,Non-financial / risk,Low
INIT-016,2026-03,0,0,Non-financial / risk,Low
INIT-016,2026-04,0,0,Non-financial / risk,Low
INIT-016,2026-05,0,0,Non-financial / risk,Low
INIT-016,2026-06,0,0,Non-financial / risk,Low
INIT-016,2026-07,0,0,Non-financial / risk,Low
INIT-016,2026-08,0,,Non-financial / risk,Low
INIT-016,2026-09,0,,Non-financial / risk,Low
INIT-016,2026-10,0,,Non-financial / risk,Low
INIT-016,2026-11,0,,Non-financial / risk,Low
INIT-016,2026-12,0,,Non-financial / risk,Low
INIT-016,2027-01,0,,Non-financial / risk,Low
INIT-016,2027-02,0,,Non-financial / risk,Low
INIT-016,2027-03,0,,Non-financial / risk,Low
INIT-016,2027-04,3519,,Non-financial / risk,Low
INIT-016,2027-05,7037,,Non-financial / risk,Low
INIT-016,2027-06,10556,,Non-financial / risk,Low
INIT-016,2027-07,14074,,Non-financial / risk,Low
INIT-016,2027-08,17593,,Non-financial / risk,Low
INIT-016,2027-09,21111,,Non-financial / risk,Low
INIT-016,2027-10,24630,,Non-financial / risk,Low
INIT-016,2027-11,28148,,Non-financial / risk,Low
INIT-016,2027-12,31667,,Non-financial / risk,Low
INIT-017,2026-01,0,0,Non-financial / risk,Med
INIT-017,2026-02,0,0,Non-financial / risk,Med
INIT-017,2026-03,0,0,Non-financial / risk,Med
INIT-017,2026-04,0,0,Non-financial / risk,Med
INIT-017,2026-05,0,0,Non-financial / risk,Med
INIT-017,2026-06,0,0,Non-financial / risk,Med
INIT-017,2026-07,0,0,Non-financial / risk,Med
INIT-017,2026-08,0,,Non-financial / risk,Med
INIT-017,2026-09,0,,Non-financial / risk,Med
INIT-017,2026-10,0,,Non-financial / risk,Med
INIT-017,2026-11,0,,Non-financial / risk,Med
INIT-017,2026-12,0,,Non-financial / risk,Med
INIT-017,2027-01,0,,Non-financial / risk,Med
INIT-017,2027-02,0,,Non-financial / risk,Med
INIT-017,2027-03,0,,Non-financial / risk,Med
INIT-017,2027-04,0,,Non-financial / risk,Med
INIT-017,2027-05,0,,Non-financial / risk,Med
INIT-017,2027-06,0,,Non-financial / risk,Med
INIT-017,2027-07,0,,Non-financial / risk,Med
INIT-017,2027-08,0,,Non-financial / risk,Med
INIT-017,2027-09,0,,Non-financial / risk,Med
INIT-017,2027-10,0,,Non-financial / risk,Med
INIT-017,2027-11,0,,Non-financial / risk,Med
INIT-017,2027-12,4306,,Non-financial / risk,Med
INIT-018,2026-01,0,0,Opex reduction,Med
INIT-018,2026-02,0,0,Opex reduction,Med
INIT-018,2026-03,0,0,Opex reduction,Med
INIT-018,2026-04,0,0,Opex reduction,Med
INIT-018,2026-05,0,0,Opex reduction,Med
INIT-018,2026-06,0,0,Opex reduction,Med
INIT-018,2026-07,0,0,Opex reduction,Med
INIT-018,2026-08,0,,Opex reduction,Med
INIT-018,2026-09,0,,Opex reduction,Med
INIT-018,2026-10,0,,Opex reduction,Med
INIT-018,2026-11,0,,Opex reduction,Med
INIT-018,2026-12,0,,Opex reduction,Med
INIT-018,2027-01,0,,Opex reduction,Med
INIT-018,2027-02,0,,Opex reduction,Med
INIT-018,2027-03,0,,Opex reduction,Med
INIT-018,2027-04,0,,Opex reduction,Med
INIT-018,2027-05,0,,Opex reduction,Med
INIT-018,2027-06,0,,Opex reduction,Med
INIT-018,2027-07,0,,Opex reduction,Med
INIT-018,2027-08,0,,Opex reduction,Med
INIT-018,2027-09,0,,Opex reduction,Med
INIT-018,2027-10,0,,Opex reduction,Med
INIT-018,2027-11,9630,,Opex reduction,Med
INIT-018,2027-12,19259,,Opex reduction,Med
INIT-019,2026-01,0,0,Opex reduction,Med
INIT-019,2026-02,0,0,Opex reduction,Med
INIT-019,2026-03,0,0,Opex reduction,Med
INIT-019,2026-04,0,0,Opex reduction,Med
INIT-019,2026-05,0,0,Opex reduction,Med
INIT-019,2026-06,0,0,Opex reduction,Med
INIT-019,2026-07,0,0,Opex reduction,Med
INIT-019,2026-08,0,,Opex reduction,Med
INIT-019,2026-09,0,,Opex reduction,Med
INIT-019,2026-10,0,,Opex reduction,Med
INIT-019,2026-11,0,,Opex reduction,Med
INIT-019,2026-12,0,,Opex reduction,Med
INIT-019,2027-01,0,,Opex reduction,Med
INIT-019,2027-02,0,,Opex reduction,Med
INIT-019,2027-03,0,,Opex reduction,Med
INIT-019,2027-04,0,,Opex reduction,Med
INIT-019,2027-05,0,,Opex reduction,Med
INIT-019,2027-06,0,,Opex reduction,Med
INIT-019,2027-07,0,,Opex reduction,Med
INIT-019,2027-08,0,,Opex reduction,Med
INIT-019,2027-09,0,,Opex reduction,Med
INIT-019,2027-10,0,,Opex reduction,Med
INIT-019,2027-11,0,,Opex reduction,Med
INIT-019,2027-12,54306,,Opex reduction,Med
INIT-020,2026-01,0,0,Opex reduction,Med
INIT-020,2026-02,0,0,Opex reduction,Med
INIT-020,2026-03,0,0,Opex reduction,Med
INIT-020,2026-04,0,0,Opex reduction,Med
INIT-020,2026-05,0,0,Opex reduction,Med
INIT-020,2026-06,0,0,Opex reduction,Med
INIT-020,2026-07,0,0,Opex reduction,Med
INIT-020,2026-08,0,,Opex reduction,Med
INIT-020,2026-09,0,,Opex reduction,Med
INIT-020,2026-10,0,,Opex reduction,Med
INIT-020,2026-11,0,,Opex reduction,Med
INIT-020,2026-12,0,,Opex reduction,Med
INIT-020,2027-01,0,,Opex reduction,Med
INIT-020,2027-02,0,,Opex reduction,Med
INIT-020,2027-03,0,,Opex reduction,Med
INIT-020,2027-04,0,,Opex reduction,Med
INIT-020,2027-05,0,,Opex reduction,Med
INIT-020,2027-06,0,,Opex reduction,Med
INIT-020,2027-07,0,,Opex reduction,Med
INIT-020,2027-08,0,,Opex reduction,Med
INIT-020,2027-09,0,,Opex reduction,Med
INIT-020,2027-10,0,,Opex reduction,Med
INIT-020,2027-11,43611,,Opex reduction,Med
INIT-020,2027-12,87222,,Opex reduction,Med
INIT-021,2026-01,0,0,Opex reduction,Med
INIT-021,2026-02,0,0,Opex reduction,Med
INIT-021,2026-03,0,0,Opex reduction,Med
INIT-021,2026-04,0,0,Opex reduction,Med
INIT-021,2026-05,0,0,Opex reduction,Med
INIT-021,2026-06,0,0,Opex reduction,Med
INIT-021,2026-07,0,0,Opex reduction,Med
INIT-021,2026-08,0,,Opex reduction,Med
INIT-021,2026-09,0,,Opex reduction,Med
INIT-021,2026-10,0,,Opex reduction,Med
INIT-021,2026-11,0,,Opex reduction,Med
INIT-021,2026-12,0,,Opex reduction,Med
INIT-021,2027-01,0,,Opex reduction,Med
INIT-021,2027-02,0,,Opex reduction,Med
INIT-021,2027-03,0,,Opex reduction,Med
INIT-021,2027-04,0,,Opex reduction,Med
INIT-021,2027-05,0,,Opex reduction,Med
INIT-021,2027-06,0,,Opex reduction,Med
INIT-021,2027-07,0,,Opex reduction,Med
INIT-021,2027-08,0,,Opex reduction,Med
INIT-021,2027-09,0,,Opex reduction,Med
INIT-021,2027-10,23125,,Opex reduction,Med
INIT-021,2027-11,46250,,Opex reduction,Med
INIT-021,2027-12,69375,,Opex reduction,Med
INIT-022,2026-01,0,0,Opex reduction,Low
INIT-022,2026-02,0,0,Opex reduction,Low
INIT-022,2026-03,0,0,Opex reduction,Low
INIT-022,2026-04,0,0,Opex reduction,Low
INIT-022,2026-05,0,0,Opex reduction,Low
INIT-022,2026-06,0,0,Opex reduction,Low
INIT-022,2026-07,0,0,Opex reduction,Low
INIT-022,2026-08,0,,Opex reduction,Low
INIT-022,2026-09,0,,Opex reduction,Low
INIT-022,2026-10,0,,Opex reduction,Low
INIT-022,2026-11,0,,Opex reduction,Low
INIT-022,2026-12,0,,Opex reduction,Low
INIT-022,2027-01,0,,Opex reduction,Low
INIT-022,2027-02,0,,Opex reduction,Low
INIT-022,2027-03,0,,Opex reduction,Low
INIT-022,2027-04,0,,Opex reduction,Low
INIT-022,2027-05,0,,Opex reduction,Low
INIT-022,2027-06,0,,Opex reduction,Low
INIT-022,2027-07,0,,Opex reduction,Low
INIT-022,2027-08,0,,Opex reduction,Low
INIT-022,2027-09,0,,Opex reduction,Low
INIT-022,2027-10,0,,Opex reduction,Low
INIT-022,2027-11,0,,Opex reduction,Low
INIT-022,2027-12,0,,Opex reduction,Low
INIT-023,2026-01,0,0,Opex reduction,High
INIT-023,2026-02,0,0,Opex reduction,High
INIT-023,2026-03,0,0,Opex reduction,High
INIT-023,2026-04,0,0,Opex reduction,High
INIT-023,2026-05,0,0,Opex reduction,High
INIT-023,2026-06,0,0,Opex reduction,High
INIT-023,2026-07,0,0,Opex reduction,High
INIT-023,2026-08,0,,Opex reduction,High
INIT-023,2026-09,0,,Opex reduction,High
INIT-023,2026-10,0,,Opex reduction,High
INIT-023,2026-11,0,,Opex reduction,High
INIT-023,2026-12,0,,Opex reduction,High
INIT-023,2027-01,13125,,Opex reduction,High
INIT-023,2027-02,26250,,Opex reduction,High
