role,month,quarter,available_fte,demanded_fte,gap_fte,utilisation_pct,over_allocated
Solution Architect,2026-12,2026Q4,15.0,12.9,2.1,86.0,FALSE
Solution Architect,2027-01,2027Q1,15.9,12.0,3.9,75.5,FALSE
Solution Architect,2027-02,2027Q1,16.0,13.3,2.7,83.1,FALSE
Solution Architect,2027-03,2027Q1,16.3,12.9,3.4,79.1,FALSE
Solution Architect,2027-04,2027Q2,16.2,12.1,4.1,74.7,FALSE
Solution Architect,2027-05,2027Q2,16.4,9.7,6.7,59.1,FALSE
Solution Architect,2027-06,2027Q2,16.2,9.9,6.3,61.1,FALSE
Solution Architect,2027-07,2027Q3,15.3,7.3,8.0,47.7,FALSE
Solution Architect,2027-08,2027Q3,15.6,7.2,8.4,46.2,FALSE
Solution Architect,2027-09,2027Q3,16.6,7.0,9.6,42.2,FALSE
Solution Architect,2027-10,2027Q4,16.5,6.1,10.4,37.0,FALSE
Solution Architect,2027-11,2027Q4,16.4,5.7,10.7,34.8,FALSE
Solution Architect,2027-12,2027Q4,15.5,4.7,10.8,30.3,FALSE
Integration Engineer,2026-01,2026Q1,5.5,0.0,5.5,0.0,FALSE
Integration Engineer,2026-02,2026Q1,5.3,1.6,3.7,30.2,FALSE
Integration Engineer,2026-03,2026Q1,5.3,2.0,3.3,37.7,FALSE
Integration Engineer,2026-04,2026Q2,5.3,2.5,2.8,47.2,FALSE
Integration Engineer,2026-05,2026Q2,5.6,3.9,1.7,69.6,FALSE
Integration Engineer,2026-06,2026Q2,5.4,4.4,1.0,81.5,FALSE
Integration Engineer,2026-07,2026Q3,5.1,4.5,0.6,88.2,FALSE
Integration Engineer,2026-08,2026Q3,5.2,4.5,0.7,86.5,FALSE
Integration Engineer,2026-09,2026Q3,5.7,4.3,1.4,75.4,FALSE
Integration Engineer,2026-10,2026Q4,5.6,4.0,1.6,71.4,FALSE
Integration Engineer,2026-11,2026Q4,5.4,3.0,2.4,55.6,FALSE
Integration Engineer,2026-12,2026Q4,5.3,2.8,2.5,52.8,FALSE
Integration Engineer,2027-01,2027Q1,5.5,3.2,2.3,58.2,FALSE
Integration Engineer,2027-02,2027Q1,5.7,4.0,1.7,70.2,FALSE
Integration Engineer,2027-03,2027Q1,5.6,3.9,1.7,69.6,FALSE
Integration Engineer,2027-04,2027Q2,5.7,3.9,1.8,68.4,FALSE
Integration Engineer,2027-05,2027Q2,5.9,3.1,2.8,52.5,FALSE
Integration Engineer,2027-06,2027Q2,5.8,3.1,2.7,53.4,FALSE
Integration Engineer,2027-07,2027Q3,5.3,3.3,2.0,62.3,FALSE
Integration Engineer,2027-08,2027Q3,5.3,3.5,1.8,66.0,FALSE
Integration Engineer,2027-09,2027Q3,5.8,3.7,2.1,63.8,FALSE
Integration Engineer,2027-10,2027Q4,5.7,3.8,1.9,66.7,FALSE
Integration Engineer,2027-11,2027Q4,5.8,3.9,1.9,67.2,FALSE
Integration Engineer,2027-12,2027Q4,5.7,3.8,1.9,66.7,FALSE
ERP Consultant,2026-01,2026Q1,37.7,2.1,35.6,5.6,FALSE
ERP Consultant,2026-02,2026Q1,38.1,9.3,28.8,24.4,FALSE
ERP Consultant,2026-03,2026Q1,38.3,11.1,27.2,29.0,FALSE
ERP Consultant,2026-04,2026Q2,38.4,15.1,23.3,39.3,FALSE
ERP Consultant,2026-05,2026Q2,38.4,16.8,21.6,43.8,FALSE
ERP Consultant,2026-06,2026Q2,38.7,19.2,19.5,49.6,FALSE
ERP Consultant,2026-07,2026Q3,36.6,21.9,14.7,59.8,FALSE
ERP Consultant,2026-08,2026Q3,36.6,25.0,11.6,68.3,FALSE
ERP Consultant,2026-09,2026Q3,39.1,28.4,10.7,72.6,FALSE
ERP Consultant,2026-10,2026Q4,39.4,30.2,9.2,76.6,FALSE
ERP Consultant,2026-11,2026Q4,39.4,30.7,8.7,77.9,FALSE
ERP Consultant,2026-12,2026Q4,37.1,33.2,3.9,89.5,FALSE
ERP Consultant,2027-01,2027Q1,39.8,32.6,7.2,81.9,FALSE
ERP Consultant,2027-02,2027Q1,40.0,31.1,8.9,77.8,FALSE
ERP Consultant,2027-03,2027Q1,40.1,29.9,10.2,74.6,FALSE
ERP Consultant,2027-04,2027Q2,40.2,27.2,13.0,67.7,FALSE
ERP Consultant,2027-05,2027Q2,40.1,25.3,14.8,63.1,FALSE
ERP Consultant,2027-06,2027Q2,40.6,23.0,17.6,56.7,FALSE
ERP Consultant,2027-07,2027Q3,38.3,21.5,16.8,56.1,FALSE
ERP Consultant,2027-08,2027Q3,38.3,19.8,18.5,51.7,FALSE
ERP Consultant,2027-09,2027Q3,40.9,18.0,22.9,44.0,FALSE
ERP Consultant,2027-10,2027Q4,41.2,12.3,28.9,29.9,FALSE
ERP Consultant,2027-11,2027Q4,41.1,8.7,32.4,21.2,FALSE
ERP Consultant,2027-12,2027Q4,38.9,4.7,34.2,12.1,FALSE
Test Lead,2026-01,2026Q1,13.9,3.6,10.3,25.9,FALSE
Test Lead,2026-02,2026Q1,14.1,5.5,8.6,39.0,FALSE
Test Lead,2026-03,2026Q1,14.3,7.3,7.0,51.0,FALSE
Test Lead,2026-04,2026Q2,14.0,9.2,4.8,65.7,FALSE
Test Lead,2026-05,2026Q2,14.2,9.8,4.4,69.0,FALSE
Test Lead,2026-06,2026Q2,14.4,10.3,4.1,71.5,FALSE
Test Lead,2026-07,2026Q3,13.3,10.7,2.6,80.5,FALSE
Test Lead,2026-08,2026Q3,13.5,10.9,2.6,80.7,FALSE
Test Lead,2026-09,2026Q3,14.5,10.1,4.4,69.7,FALSE
Test Lead,2026-10,2026Q4,14.5,10.2,4.3,70.3,FALSE
Test Lead,2026-11,2026Q4,14.4,10.8,3.6,75.0,FALSE
Test Lead,2026-12,2026Q4,13.5,11.0,2.5,81.5,FALSE
Test Lead,2027-01,2027Q1,14.6,11.2,3.4,76.7,FALSE
Test Lead,2027-02,2027Q1,14.6,11.5,3.1,78.8,FALSE
Test Lead,2027-03,2027Q1,14.8,10.6,4.2,71.6,FALSE
Test Lead,2027-04,2027Q2,15.0,10.0,5.0,66.7,FALSE
Test Lead,2027-05,2027Q2,14.9,9.4,5.5,63.1,FALSE
Test Lead,2027-06,2027Q2,14.9,8.2,6.7,55.0,FALSE
Test Lead,2027-07,2027Q3,13.9,7.9,6.0,56.8,FALSE
Test Lead,2027-08,2027Q3,14.2,7.5,6.7,52.8,FALSE
Test Lead,2027-09,2027Q3,15.2,6.5,8.7,42.8,FALSE
Test Lead,2027-10,2027Q4,15.0,5.1,9.9,34.0,FALSE
Test Lead,2027-11,2027Q4,15.1,4.7,10.4,31.1,FALSE
Test Lead,2027-12,2027Q4,14.4,4.2,10.2,29.2,FALSE
Process Engineer,2026-01,2026Q1,39.7,3.3,36.4,8.3,FALSE
Process Engineer,2026-02,2026Q1,39.8,10.2,29.6,25.6,FALSE
Process Engineer,2026-03,2026Q1,39.8,11.7,28.1,29.4,FALSE
Process Engineer,2026-04,2026Q2,40.1,13.4,26.7,33.4,FALSE
Process Engineer,2026-05,2026Q2,40.2,15.1,25.1,37.6,FALSE
Process Engineer,2026-06,2026Q2,40.4,17.0,23.4,42.1,FALSE
Process Engineer,2026-07,2026Q3,38.3,21.1,17.2,55.1,FALSE
Process Engineer,2026-08,2026Q3,38.3,26.7,11.6,69.7,FALSE
Process Engineer,2026-09,2026Q3,41.1,30.2,10.9,73.5,FALSE
Process Engineer,2026-10,2026Q4,40.9,31.5,9.4,77.0,FALSE
Process Engineer,2026-11,2026Q4,41.0,32.8,8.2,80.0,FALSE
Process Engineer,2026-12,2026Q4,39.0,33.3,5.7,85.4,FALSE
Process Engineer,2027-01,2027Q1,41.3,32.9,8.4,79.7,FALSE
Process Engineer,2027-02,2027Q1,41.5,28.0,13.5,67.5,FALSE
Process Engineer,2027-03,2027Q1,42.0,26.6,15.4,63.3,FALSE
Process Engineer,2027-04,2027Q2,42.1,24.6,17.5,58.4,FALSE
Process Engineer,2027-05,2027Q2,42.1,20.3,21.8,48.2,FALSE
Process Engineer,2027-06,2027Q2,42.4,18.7,23.7,44.1,FALSE
Process Engineer,2027-07,2027Q3,40.1,16.5,23.6,41.1,FALSE
Process Engineer,2027-08,2027Q3,39.9,15.4,24.5,38.6,FALSE
Process Engineer,2027-09,2027Q3,42.8,14.6,28.2,34.1,FALSE
Process Engineer,2027-10,2027Q4,43.1,7.5,35.6,17.4,FALSE
Process Engineer,2027-11,2027Q4,42.9,6.3,36.6,14.7,FALSE
Process Engineer,2027-12,2027Q4,40.5,5.6,34.9,13.8,FALSE
Supply Chain Analyst,2026-01,2026Q1,11.9,1.1,10.8,9.2,FALSE
Supply Chain Analyst,2026-02,2026Q1,11.9,1.8,10.1,15.1,FALSE
Supply Chain Analyst,2026-03,2026Q1,12.1,5.2,6.9,43.0,FALSE
Supply Chain Analyst,2026-04,2026Q2,11.8,6.0,5.8,50.8,FALSE
Supply Chain Analyst,2026-05,2026Q2,12.1,7.1,5.0,58.7,FALSE
Supply Chain Analyst,2026-06,2026Q2,11.9,8.6,3.3,72.3,FALSE
Supply Chain Analyst,2026-07,2026Q3,11.2,9.8,1.4,87.5,FALSE
Supply Chain Analyst,2026-08,2026Q3,11.2,10.4,0.8,92.9,FALSE
Supply Chain Analyst,2026-09,2026Q3,12.1,18.5,-6.4,152.9,TRUE
Supply Chain Analyst,2026-10,2026Q4,12.4,19.2,-6.8,154.8,TRUE
Supply Chain Analyst,2026-11,2026Q4,12.3,14.6,-2.3,118.7,TRUE
Supply Chain Analyst,2026-12,2026Q4,11.5,15.7,-4.2,136.5,TRUE
Supply Chain Analyst,2027-01,2027Q1,12.4,15.1,-2.7,121.8,TRUE
Supply Chain Analyst,2027-02,2027Q1,12.6,10.6,2.0,84.1,FALSE
Supply Chain Analyst,2027-03,2027Q1,12.3,8.2,4.1,66.7,FALSE
Supply Chain Analyst,2027-04,2027Q2,12.5,4.7,7.8,37.6,FALSE
Supply Chain Analyst,2027-05,2027Q2,12.7,3.3,9.4,26.0,FALSE
Supply Chain Analyst,2027-06,2027Q2,12.5,3.1,9.4,24.8,FALSE
Supply Chain Analyst,2027-07,2027Q3,12.0,2.9,9.1,24.2,FALSE
Supply Chain Analyst,2027-08,2027Q3,11.9,2.7,9.2,22.7,FALSE
Supply Chain Analyst,2027-09,2027Q3,12.9,2.6,10.3,20.2,FALSE
Supply Chain Analyst,2027-10,2027Q4,13.0,2.2,10.8,16.9,FALSE
Supply Chain Analyst,2027-11,2027Q4,12.9,2.1,10.8,16.3,FALSE
Supply Chain Analyst,2027-12,2027Q4,12.1,2.0,10.1,16.5,FALSE
Finance Transformation Lead,2026-01,2026Q1,13.9,1.6,12.3,11.5,FALSE
Finance Transformation Lead,2026-02,2026Q1,13.7,3.6,10.1,26.3,FALSE
Finance Transformation Lead,2026-03,2026Q1,13.6,4.8,8.8,35.3,FALSE
Finance Transformation Lead,2026-04,2026Q2,14.0,6.3,7.7,45.0,FALSE
Finance Transformation Lead,2026-05,2026Q2,14.0,7.2,6.8,51.4,FALSE
Finance Transformation Lead,2026-06,2026Q2,14.0,8.0,6.0,57.1,FALSE
Finance Transformation Lead,2026-07,2026Q3,13.2,9.2,4.0,69.7,FALSE
Finance Transformation Lead,2026-08,2026Q3,13.1,11.0,2.1,84.0,FALSE
Finance Transformation Lead,2026-09,2026Q3,13.9,11.6,2.3,83.5,FALSE
Finance Transformation Lead,2026-10,2026Q4,14.0,12.1,1.9,86.4,FALSE
Finance Transformation Lead,2026-11,2026Q4,14.2,12.1,2.1,85.2,FALSE
Finance Transformation Lead,2026-12,2026Q4,13.5,12.6,0.9,93.3,FALSE
Finance Transformation Lead,2027-01,2027Q1,14.3,12.4,1.9,86.7,FALSE
Finance Transformation Lead,2027-02,2027Q1,14.3,12.0,2.3,83.9,FALSE
Finance Transformation Lead,2027-03,2027Q1,14.6,11.4,3.2,78.1,FALSE
Finance Transformation Lead,2027-04,2027Q2,14.3,10.4,3.9,72.7,FALSE
Finance Transformation Lead,2027-05,2027Q2,14.4,8.7,5.7,60.4,FALSE
Finance Transformation Lead,2027-06,2027Q2,14.7,8.2,6.5,55.8,FALSE
Finance Transformation Lead,2027-07,2027Q3,13.8,7.6,6.2,55.1,FALSE
Finance Transformation Lead,2027-08,2027Q3,13.9,5.9,8.0,42.4,FALSE
Finance Transformation Lead,2027-09,2027Q3,14.6,4.9,9.7,33.6,FALSE
Finance Transformation Lead,2027-10,2027Q4,14.8,3.7,11.1,25.0,FALSE
Finance Transformation Lead,2027-11,2027Q4,14.7,3.5,11.2,23.8,FALSE
Finance Transformation Lead,2027-12,2027Q4,13.9,3.0,10.9,21.6,FALSE
HR Business Partner,2026-01,2026Q1,13.6,0.0,13.6,0.0,FALSE
HR Business Partner,2026-02,2026Q1,13.9,0.0,13.9,0.0,FALSE
HR Business Partner,2026-03,2026Q1,14.0,2.1,11.9,15.0,FALSE
HR Business Partner,2026-04,2026Q2,13.9,3.3,10.6,23.7,FALSE
HR Business Partner,2026-05,2026Q2,14.1,4.0,10.1,28.4,FALSE
HR Business Partner,2026-06,2026Q2,14.2,4.7,9.5,33.1,FALSE
HR Business Partner,2026-07,2026Q3,13.3,5.6,7.7,42.1,FALSE
HR Business Partner,2026-08,2026Q3,13.2,10.0,3.2,75.8,FALSE
HR Business Partner,2026-09,2026Q3,14.3,10.4,3.9,72.7,FALSE
HR Business Partner,2026-10,2026Q4,14.3,10.6,3.7,74.1,FALSE
HR Business Partner,2026-11,2026Q4,14.3,10.7,3.6,74.8,FALSE
HR Business Partner,2026-12,2026Q4,13.7,11.0,2.7,80.3,FALSE
HR Business Partner,2027-01,2027Q1,14.5,11.3,3.2,77.9,FALSE
HR Business Partner,2027-02,2027Q1,14.3,11.4,2.9,79.7,FALSE
HR Business Partner,2027-03,2027Q1,14.4,10.8,3.6,75.0,FALSE
HR Business Partner,2027-04,2027Q2,14.6,10.4,4.2,71.2,FALSE
HR Business Partner,2027-05,2027Q2,14.8,9.1,5.7,61.5,FALSE
HR Business Partner,2027-06,2027Q2,14.8,8.3,6.5,56.1,FALSE
HR Business Partner,2027-07,2027Q3,14.0,8.3,5.7,59.3,FALSE
HR Business Partner,2027-08,2027Q3,13.9,8.3,5.6,59.7,FALSE
HR Business Partner,2027-09,2027Q3,14.7,8.1,6.6,55.1,FALSE
HR Business Partner,2027-10,2027Q4,14.8,7.8,7.0,52.7,FALSE
HR Business Partner,2027-11,2027Q4,14.8,7.4,7.4,50.0,FALSE
HR Business Partner,2027-12,2027Q4,14.2,6.9,7.3,48.6,FALSE
Procurement Category Manager,2026-01,2026Q1,17.0,5.7,11.3,33.5,FALSE
Procurement Category Manager,2026-02,2026Q1,17.2,10.2,7.0,59.3,FALSE
Procurement Category Manager,2026-03,2026Q1,17.4,11.1,6.3,63.8,FALSE
Procurement Category Manager,2026-04,2026Q2,17.4,12.8,4.6,73.6,FALSE
Procurement Category Manager,2026-05,2026Q2,17.3,13.6,3.7,78.6,FALSE
Procurement Category Manager,2026-06,2026Q2,17.6,14.0,3.6,79.5,FALSE
Procurement Category Manager,2026-07,2026Q3,16.6,14.1,2.5,84.9,FALSE
Procurement Category Manager,2026-08,2026Q3,16.5,14.0,2.5,84.8,FALSE
Procurement Category Manager,2026-09,2026Q3,17.6,13.8,3.8,78.4,FALSE
Procurement Category Manager,2026-10,2026Q4,17.9,14.5,3.4,81.0,FALSE
Procurement Category Manager,2026-11,2026Q4,17.9,13.5,4.4,75.4,FALSE
Procurement Category Manager,2026-12,2026Q4,17.0,11.8,5.2,69.4,FALSE
Procurement Category Manager,2027-01,2027Q1,18.0,12.0,6.0,66.7,FALSE
Procurement Category Manager,2027-02,2027Q1,17.9,13.8,4.1,77.1,FALSE
Procurement Category Manager,2027-03,2027Q1,18.2,14.0,4.2,76.9,FALSE
Procurement Category Manager,2027-04,2027Q2,18.0,14.0,4.0,77.8,FALSE
Procurement Category Manager,2027-05,2027Q2,18.3,14.0,4.3,76.5,FALSE
Procurement Category Manager,2027-06,2027Q2,18.2,13.8,4.4,75.8,FALSE
Procurement Category Manager,2027-07,2027Q3,17.3,13.5,3.8,78.0,FALSE
Procurement Category Manager,2027-08,2027Q3,17.3,13.0,4.3,75.1,FALSE
Procurement Category Manager,2027-09,2027Q3,18.6,12.3,6.3,66.1,FALSE
Procurement Category Manager,2027-10,2027Q4,18.7,9.9,8.8,52.9,FALSE
Procurement Category Manager,2027-11,2027Q4,18.5,8.2,10.3,44.3,FALSE
Procurement Category Manager,2027-12,2027Q4,17.7,7.4,10.3,41.8,FALSE
Compliance Specialist,2026-01,2026Q1,23.0,3.1,19.9,13.5,FALSE
Compliance Specialist,2026-02,2026Q1,22.8,4.4,18.4,19.3,FALSE
Compliance Specialist,2026-03,2026Q1,23.1,8.7,14.4,37.7,FALSE
Compliance Specialist,2026-04,2026Q2,23.1,9.8,13.3,42.4,FALSE
Compliance Specialist,2026-05,2026Q2,23.0,11.8,11.2,51.3,FALSE
Compliance Specialist,2026-06,2026Q2,23.4,14.1,9.3,60.3,FALSE
Compliance Specialist,2026-07,2026Q3,22.1,16.2,5.9,73.3,FALSE
Compliance Specialist,2026-08,2026Q3,22.1,17.2,4.9,77.8,FALSE
Compliance Specialist,2026-09,2026Q3,23.5,19.0,4.5,80.9,FALSE
Compliance Specialist,2026-10,2026Q4,23.5,19.3,4.2,82.1,FALSE
Compliance Specialist,2026-11,2026Q4,23.8,19.2,4.6,80.7,FALSE
Compliance Specialist,2026-12,2026Q4,22.3,17.9,4.4,80.3,FALSE
Compliance Specialist,2027-01,2027Q1,24.0,17.0,7.0,70.8,FALSE
Compliance Specialist,2027-02,2027Q1,23.9,13.9,10.0,58.2,FALSE
Compliance Specialist,2027-03,2027Q1,23.9,12.6,11.3,52.7,FALSE
Compliance Specialist,2027-04,2027Q2,24.3,11.3,13.0,46.5,FALSE
Compliance Specialist,2027-05,2027Q2,24.4,5.8,18.6,23.8,FALSE
Compliance Specialist,2027-06,2027Q2,24.3,5.2,19.1,21.4,FALSE
Compliance Specialist,2027-07,2027Q3,22.9,4.7,18.2,20.5,FALSE
Compliance Specialist,2027-08,2027Q3,23.1,4.3,18.8,18.6,FALSE
Compliance Specialist,2027-09,2027Q3,24.6,1.5,23.1,6.1,FALSE
Compliance Specialist,2027-10,2027Q4,24.9,1.2,23.7,4.8,FALSE
Compliance Specialist,2027-11,2027Q4,24.7,1.3,23.4,5.3,FALSE
Compliance Specialist,2027-12,2027Q4,23.6,1.4,22.2,5.9,FALSE
Commercial Analyst,2026-01,2026Q1,25.7,4.9,20.8,19.1,FALSE
Commercial Analyst,2026-02,2026Q1,25.8,8.6,17.2,33.3,FALSE
Commercial Analyst,2026-03,2026Q1,25.8,9.6,16.2,37.2,FALSE
Commercial Analyst,2026-04,2026Q2,26.1,10.7,15.4,41.0,FALSE
Commercial Analyst,2026-05,2026Q2,26.2,11.7,14.5,44.7,FALSE
Commercial Analyst,2026-06,2026Q2,26.4,15.3,11.1,58.0,FALSE
Commercial Analyst,2026-07,2026Q3,24.6,16.4,8.2,66.7,FALSE
Commercial Analyst,2026-08,2026Q3,24.7,20.6,4.1,83.4,FALSE
Commercial Analyst,2026-09,2026Q3,26.6,21.2,5.4,79.7,FALSE
Commercial Analyst,2026-10,2026Q4,26.5,21.9,4.6,82.6,FALSE
Commercial Analyst,2026-11,2026Q4,26.6,22.2,4.4,83.5,FALSE
