Harbourline Group - Transformation Tracker - MASTER - do not edit without asking Priya,,,,,,,,,,,,
Last updated 04/08/26 (some rows still on the old format sorry),,,,,,,,,,,,
Ref,Initiative,Function,Owner,Status,RAG,Start,End,Budget,Spent,Benefit p.a.,Notes,
INIT-014,Depot Consolidation - Northern Region,Operations,Marcus Halvorsen,Business Case,Green,14/06/27,Sep-28,2.57m,0,"2,990,000",,
INIT-015,RPA Factory,Operations,Tessa Ferreira,In Flight,Amber,03/01/26,2027-01-03,"$1,445,000","751,400","$1,180,000",,
INIT-016,Quality Mgmt System Harmonisation,Operations,Rafael Novak,In Flight,RED,09/02/26,Jan-27,"1,225,000","404,250",380000,REGULATORY,
INIT-017,Health & Safety Digital Reporting,Operations,Tessa Whitfield,Paused,Red,27/07/26,2027-09-27,"$1,690,000","33,800","$310,000","REGULATORY - why is a regulatory initiative paused?",
INIT-018,Service Scheduling & Dispatch Standardisation,Operations,Hamish Adeyemi,In Flight,Green,04/08/26,Sep-27,2165000,43300,1040000,,
INIT-019,Asset Utilisation & Fleet Telematics,Operations,Sinead Boateng,In Flight,Green,05/02/26,2027-09-05,"$3,375,000","1,080,000","3,910,000",,
INIT-020,Supplier Rationalisation Wave 2,Supply Chain,Bjorn Whitfield,In Flight,on track?,19/04/26,Aug-27,"$2,635,000","316,200","$3,140,000","moved to Amber in July per sponsor - lead disagrees. 34% over budget.",
INIT-020,Supplier Rationalisation - Wave 2 (tail spend),Supply Chain,B Whitfield,In Flight,RED,Apr-26,2027-08-19,2635000,316200,"2.5m-3.1m contested",NEAR DUPLICATE - benefit disputed w INIT-050,
INIT-021,Distribution Network Redesign,Supply Chain,Sinead Fraser,Business Case,Green,07/09/26,2027-10-07,"1,425,000",0,"$1,110,000",,
INIT-022,S&OP Process Standardisation,Supply Chain,Zoya Petrova,Business Case,Amber,24/10/26,Jan-28,"$1,855,000",0,2300000,,
INIT-023,Inbound Freight Cost Reduction,Supply Chain,Idris Vlach,In Flight,GREEN,20/02/26,2027-01-20,"$1,315,000","657,500","$1,890,000",QUICK WIN - high confidence - under budget,
INIT-024,Warehouse Automation Pilot,Supply Chain,Elise Doherty,Approved,Green,26/01/27,Apr-28,1865000,55950,1330000,,
INIT-025,Inventory Optimisation & Safety Stock Reset,Supply Chain,Sinead Whitfield,At Risk,Red,24/07/26,2027-05-24,"$1,300,000","52,000","$2,060,000",,
INIT-026,Warehouse Mgmt System Upgrade,Supply Chain,Beatriz Nair,In Flight,Amber,08/01/26,Jan-27,"1,780,000","979,000","$1,770,000",,
INIT-027,Packaging & Consumables Standardisation,Supply Chain,Maeve Farouk,Business Case,Green,17/08/26,2028-01-17,"$2,430,000",0,"3,490,000",,
INIT-028,Order-to-Cash Automation,Finance,Marcus Bramley,Approved,Green,15/03/26,Jan-28,"$1,890,000","434,700","$2,210,000",,
INIT-029,Month-End Close Acceleration,Finance,Maeve Whitfield,In Flight,Green,29/01/26,2027-01-29,"1,035,000","538,200",740000,on budget exactly - suspicious,
INIT-030,Procurement Source-to-Pay Redesign,Finance,Zoya Doherty,In Flight,Green,12/04/26,Oct-27,"$1,230,000","270,600","$1,930,000",,
INIT-031,Finance Shared Services Centre Stand-Up,Finance,Beatriz Farouk,At Risk,RED,07/08/26,2027-04-07,"$720,000","7,200","$990,000","depends on INIT-039 which finishes 2028 - see business case s4",
INIT-032,Working Capital - Payables Terms,Finance,Lena Kilbride,In Flight,Amber,10/07/26,May-27,880000,79200,440000,,
INIT-033,Group Planning & Forecasting Rebuild,Finance,Nadia Menzies,Approved,Green,07/12/26,2027-11-07,"$1,430,000",0,"$280,000",,
INIT-034,Insurance Programme Restructure,Finance,Nuala Arnesen,In Flight,Red,08/03/26,Feb-27,"1,850,000","610,500","$970,000",,
INIT-035,HRIS Consolidation to Workday,HR / People,Anika Rahman,At Risk,RED,17/03/26,Oct-26,"$460,000","211,600","$670,000","June report said this went live - it has not gone live",
INIT-036,Frontline Hiring Funnel Redesign,HR / People,Hamish Reinholt,In Flight,Green,31/01/26,2027-12-31,"2,360,000","637,200","1,640,000",,
INIT-037,Manager Capability Programme,HR / People,Maeve Nair,Business Case,Green,27/11/26,May-27,"$370,000",0,"$40,000",tiny benefit - why are we doing this?,
INIT-038,Shared Services HR Operating Model,HR / People,Yusuf Whitfield,In Flight,Amber,29/07/26,2027-05-29,"$940,000","37,600","$700,000",depends on INIT-039 - same problem as INIT-031,
INIT-039,Organisational Delayering & Span of Control,HR / People,Yusuf Arnesen,At Risk,Red,08/08/26,Jun-28,"$2,410,000","24,100","~$2.3m not validated",GATES 3 OTHER INITIATIVES,
INIT-040,Overtime & Absence Management,HR / People,Nadia Doherty,In Flight,Amber,12/05/26,2027-04-12,850000,221000,1350000,,
INIT-041,Contractor to Permanent Conversion,HR / People,Yusuf Demir,In Flight,Amber,16/02/26,Jan-28,"$2,410,000","554,300","$2,330,000",,
INIT-042,Customer Segmentation & Pricing Analytics,Growth / Commercial,Struan Lindqvist,In Flight,Green,21/06/26,2027-01-21,"$750,000","172,500","$730,000",,
INIT-043,E-Commerce Channel Launch,Growth / Commercial,Tessa Kilbride,Idea,Green,04/02/27,Sep-27,"1,125,000",0,"$1,330,000",still just an idea,
INIT-044,Key Account Management Programme,Growth / Commercial,Nuala Boateng,In Flight,Red,08/06/26,2027-08-08,"$1,620,000","145,800","$950,000",,
INIT-045,New Market Entry - Nordics,Growth / Commercial,Struan Lindqvist,Business Case,Green,11/07/27,Apr-28,"$1,350,000",0,"1,540,000",same owner as INIT-042 - capacity?,
INIT-046,Aftermarket Services Proposition,Growth / Commercial,Gregor Doherty,Business Case,Green,11/02/27,2028-03-11,"$2,250,000",0,"~$2.2m attach rate assumption",,
INIT-047,Subscription Maintenance Offering,Growth / Commercial,Struan Whitfield,Approved,Green,23/01/27,Mar-28,"$2,040,000","61,200","$790,000",starts BEFORE INIT-046 which it depends on,
INIT-048,Bid & Tender Win-Rate Improvement,Growth / Commercial,Nuala Petrova,At Risk,Amber,05/03/26,2027-04-05,"1,475,000","560,500","$1,360,000",,
INIT-049,Customer Self-Service Portal,Growth / Commercial,Hamish Lindqvist,In Flight,Green,30/06/26,Jun-27,"$1,180,000","141,600","$1,020,000",,
INIT-050,Indirect Spend Category Reset,Cost Reduction,Beatriz Mehta,At Risk,Amber,19/02/26,2027-04-19,"$2,220,000","799,200","$3,550,000",benefit overlap with INIT-020 unresolved since May,
INIT-051,Real Estate Footprint Rationalisation,Cost Reduction,Yusuf Sandison,Business Case,Amber,02/12/26,Jun-28,"1,345,000",0,"$1,240,000",,
INIT-052,IT Application Portfolio Rationalisation,Cost Reduction,Freya Mehta,Business Case,Green,18/08/26,2027-04-18,"$900,000",0,"$980,000",,
INIT-053,Telecoms & Connectivity Renegotiation,Cost Reduction,Freya Mendes,In Flight,RED,24/11/25,Jul-27,"$1,400,000","350,000","$1,300,000",running since Nov 25 and only 25% done,
INIT-054,Energy Efficiency & Utilities Programme,Cost Reduction,Hamish Sandison,Paused,Amber,19/02/26,2026-10-19,805000,539350,1180000,paused pending depot closure decision (INIT-014),
INIT-055,Third-Party Advisory Spend Control,Cost Reduction,Isla Petrova,At Risk,Red,04/08/25,Nov-26,"$1,345,000","605,250","$1,660,000",45% over budget. on advisory spend. yes really.,
INIT-056,SOX Control Remediation,Risk & Compliance,Zoya Halvorsen,In Flight,Amber,18/03/26,2027-04-18,"$1,480,000","518,000","$450,000",REGULATORY - FY27 testing cycle has no float,
INIT-057,Data Privacy Programme (GDPR/CCPA),Risk & Compliance,Clara Sandison,In Flight,Green,05/05/26,Apr-27,"$745,000","208,600","$100,000",REGULATORY,
INIT-058,Cyber Security Uplift - Endpoint & SIEM,Risk & Compliance,Tessa Halvorsen,In Flight,Green,12/09/25,2026-12-12,"1,005,000","733,650","$290,000",REGULATORY - gates INIT-006 production migration,
INIT-059,Data Governance & Quality Framework,Risk & Compliance,Erik Menzies,Idea,Green,29/09/26,Aug-27,"$1,155,000",0,"$230,000","REGULATORY but still at Idea stage - 4 initiatives depend on it",
INIT-060,Third-Party & Supplier Risk Mgmt,Risk & Compliance,Amara Bramley,Approved,Green,09/02/27,2028-03-09,"$1,420,000",0,"$190,000",REGULATORY,
,,,,,,,,,,,,
"TOTALS (formula broken since someone inserted rows - do not trust)",,,,,,,,=SUM(I4:I63),,,,
